Gene	FTY_1	FTY_2	FTY_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
GARS	6638.888891	7164.556394	6949.191354	5457.97824	5227.475931	4928.58839
TARS	3655.880577	3791.818106	4052.478165	3014.107386	3035.988036	3122.314729
YPEL3	571.5891338	705.5012749	690.7633236	434.8185805	416.2322547	315.149524
KLF2	1458.47705	1514.51627	1634.244936	927.8245623	961.8475476	864.7158236
CDC42EP1	3124.804694	3274.249507	3214.576637	2496.768491	2201.517588	2290.670152
AL139393.2	132.1084284	156.7780611	85.3626221	266.6040931	257.7631071	231.4987244
COL7A1	1012.831285	1082.371614	990.6556933	1837.663928	1829.415982	1382.183561
TGIF1	620.0288909	618.0673562	680.654592	425.2970057	397.1758382	474.6696535
PHLDA1	3211.996257	3426.00263	3744.723448	2310.568807	2325.88578	2432.681974
PCK2	1539.503553	2087.359185	2309.283566	1026.214168	1007.984135	853.0436191
TRAM2	7899.203298	7957.491588	7827.527808	9101.567513	9149.085849	8952.580923
CMKLR1	34.3481914	59.29426669	43.80450344	115.3168498	188.5582262	92.40495303
TCEA1	3145.06132	3203.900377	3531.316893	2442.812901	2325.88578	2601.928941
MLEC	3392.544443	3274.249507	3213.453445	4050.901082	4106.156267	3879.06266
SHMT2	3529.937208	3475.247021	3727.875562	2906.196206	2572.616225	2799.383735
TOX2	819.9529792	815.0449201	1004.134002	533.2081863	557.6509243	614.7361086
CARS	2043.277027	2247.152209	2455.298578	1715.999361	1604.750861	1496.960239
PLPP3	2124.303529	2639.097362	2605.806359	1659.927866	1714.074514	1391.910398
MXRA5	1746.473424	1389.897811	1614.027473	2139.180462	2185.470079	2415.173667
EGR1	1557.11801	1492.406543	1528.664851	1125.661727	1047.099937	867.6338748
TENT5A	941.4927334	1096.44144	960.3294986	1571.059835	1532.537073	1259.625412
COL1A2	141786.6919	150686.8314	144864.8625	181571.1408	179660.8857	168745.0618
FBN1	17265.69088	19729.916	18114.84696	25118.97216	25669.99597	21475.88377
EIF1	9077.61048	9624.765968	9540.396212	8041.498857	7762.982292	7527.599279
NDRG1	1727.097521	1844.152193	2125.080013	1270.601253	1324.92243	1243.089789
CEBPG	720.4312965	769.8204794	1036.706582	550.1354303	519.5380914	512.6043184
ACLY	6581.641905	6616.838168	6252.812069	7893.385472	7919.445501	7386.56014
MDM2	1193.37947	1278.34419	1356.816414	2004.820462	2059.095949	1724.568229
HSPH1	2212.375815	1874.30182	1756.672907	2516.869594	2524.473699	2809.110572
CIZ1	3027.044457	2886.324304	2987.691773	2329.611957	2235.618544	2528.977662
RACK1	15563.25359	15365.25497	15038.42299	13249.80025	13057.65717	13111.77649
TNFRSF10C	19.37590284	26.12967685	5.61596198	61.36125953	67.19894232	41.82539979
MIR222HG	202.566257	197.9825515	152.7541659	298.3426757	291.8640629	357.9476075
CHN1	720.4312965	686.406511	535.7627729	1027.272121	1038.073213	996.0281253
MYC	1289.378262	1330.603544	1232.142058	972.2585778	943.7941004	1010.618381
SLC1A5	5962.493737	6144.49401	6693.103488	4664.513677	4280.672923	4541.460271
SESN2	1088.57345	1424.067388	1263.591446	829.4349565	762.2566592	624.4629458
NHSL1	161.1722827	212.0523775	257.2110587	107.9111806	63.18706517	114.7766785
AVPI1	325.8674568	391.9451527	325.7257948	220.0541721	206.6116734	232.4714082
BTG2	111.8518028	110.5486328	116.8120092	206.3007864	218.6473049	185.7825898
NR4A1	315.2987826	302.5012589	316.7402557	206.3007864	190.5641648	179.9464875
MOCOS	478.232511	567.8179777	516.6685022	354.4141714	306.9086022	225.6626221
CIART	99.52168276	128.6384091	167.355667	50.78173203	59.17518802	54.4702881
CD109	3416.32396	3293.34427	3285.337758	4001.177303	4169.343332	4349.841579
FDXR	296.8036026	335.6658487	405.472455	687.6692879	589.7459416	515.5223696
SPDL1	1898.838478	1705.463908	2021.746313	2702.011325	2564.59247	2718.650987
ETV5	916.8324934	1016.042434	1142.286667	746.9146419	734.1735191	640.9985689
IL20RB	282.7120369	322.6010103	360.5447591	181.9678731	195.5790112	156.6020783
ANP32B	3331.774565	3044.107353	3147.185094	2398.378886	2418.158954	2536.759132
PLIN2	2129.587867	2193.887868	2277.834179	1682.144873	1686.994343	1840.317591
RAB3IL1	324.1060111	274.3616069	261.7038283	168.2144873	162.4810247	182.8645386
CANX	11273.25256	11186.51665	10951.12586	12626.66608	13193.05802	13264.48784
MYLK	5089.697387	5117.396712	4889.2565	6329.731307	6357.822319	5976.168752
SLC1A4	857.8240621	1045.187074	1078.2647	681.3215714	619.8350202	528.1672579
SYNE3	623.5517823	754.7456659	809.8217175	491.948029	433.2827326	409.4998445
H1F0	2543.527609	2609.952722	2734.973484	2032.327234	1947.766358	1942.449381
PTX3	323.2252883	454.2543821	412.2116093	230.6336996	223.6621513	159.5201294
HSPB7	2424.630023	2871.249491	2931.532154	4446.575411	4343.859988	3204.020161
ARFGAP1	2207.091478	2250.167172	2200.333904	2941.108647	2821.352608	2644.727024
DNAJC3	1182.810796	1144.680843	1040.076159	1470.554323	1477.373762	1472.643146
WDR63	14.0915657	26.12967685	3.369577188	43.37606277	75.22269663	39.88003236
GLIPR1	5093.220278	5594.765808	5303.714494	7404.611301	7204.328399	6285.482174
SLC38A1	1998.360161	2141.628514	2417.110036	1491.713378	1436.252021	1569.911518
INHBA	935.3276734	1178.850421	1153.518591	1709.651645	1747.1725	1398.719184
KRT17	18.49517998	13.06483842	21.34065552	70.88283429	53.15737228	42.79808351
EIF2S2	3698.155274	3780.763242	4254.652796	3168.568488	3137.287934	2941.395558
ADM2	627.9553966	908.5087642	978.3005769	425.2970057	378.1194217	255.8158173
DHRS3	469.4252824	559.7780771	676.1618224	314.2119669	365.080821	280.1329102
DGKI	155.0072227	117.5835458	158.3701278	284.5892899	260.772015	247.0616639
SLC7A11	1465.522833	1843.147205	2017.253543	999.7653493	972.8802097	833.5899447
HYOU1	1820.454144	1569.790586	1647.723245	2272.482508	2236.621513	2473.53469
ARHGEF28	232.5108341	229.1371662	242.6095575	130.1281883	150.4453933	147.8479249
CDH11	5890.274463	6012.840638	5994.477818	6904.19965	6834.232731	6875.901189
SLC3A2	5516.847972	6515.334423	7036.800361	4511.110528	4311.764971	3559.049717
UGGT1	2104.046904	1942.640975	2016.130351	2420.595893	2515.446975	2503.687885
ERRFI1	1978.984258	1833.09733	2054.318892	1370.048812	1330.940246	1572.829569
MIR22HG	619.148168	685.4015235	644.7124353	889.7382632	887.6278202	840.3987307
PHLPP1	1271.763805	1405.977612	1092.866201	899.259838	892.6426667	888.0602328
WARS	3220.803486	3640.064982	3900.847191	2783.473687	2669.904246	2479.370792
JADE2	741.568645	875.3441744	991.7788857	615.7285008	631.8706517	616.681476
EIF1B	583.9192537	555.7581268	671.6690528	424.239053	424.256009	445.489142
LYNX1	90.7144542	123.6134712	89.85539168	266.6040931	215.638397	168.2742829
MXI1	285.3542054	345.7157244	390.8709538	178.7940148	226.6710592	160.4928132
TSPAN11	48.4397571	54.26932884	55.0364274	121.6645663	122.3622532	82.67811587
GYPC	680.7987679	825.0947958	735.6910194	503.5855093	581.7221873	500.9321138
XPOT	3930.666108	4076.229588	4314.181993	3185.495732	3285.727389	3328.523677
GPX4	3399.590225	3428.012605	3529.070508	2869.16786	2786.248683	2809.110572
JUND	1878.581853	2284.336749	2400.26215	1586.929126	1504.453933	1210.018543
SELENOI	508.1770881	484.4040093	469.4944215	688.7272406	678.007239	661.424927
VGLL3	3684.063708	3857.142298	4088.420322	4854.945172	4930.597022	4608.575447
CYR61	16722.28487	15894.88342	15858.35344	14267.55079	13708.58423	13972.60158
LINC01133	185.8325227	217.0773154	238.116788	153.4031488	110.3266217	76.84201357
PDE4D	88.07228563	92.45885654	101.0873156	47.60787378	41.12174082	45.71613466
CHST11	225.4650512	272.3516318	304.3851393	430.5867695	452.3391491	350.1661378
CREB3L2	2832.404706	2660.202101	2701.277712	3128.366283	3308.795682	3323.660258
COL27A1	291.5192654	279.3865448	190.9427073	409.4277145	370.0956674	391.9915376
GPR1	383.1144425	544.7032635	512.1757326	321.6176362	311.9234487	278.1875428
MMP1	5358.317858	5868.122427	6166.326254	4119.668011	4196.423503	4367.349885
GOLIM4	2577.8758	2532.568679	2289.066103	3017.281245	3085.133531	3030.882459
DCSTAMP	14.0915657	8.039900569	4.492769584	45.49196827	42.12471011	34.04393006
ULBP1	316.1795054	415.0598669	399.856493	267.6620459	215.638397	201.3455292
ARL4C	212.2542084	240.1920295	208.9137857	140.7077158	130.3860075	148.8206086
SHROOM3	1771.133664	1918.521273	1877.977686	2535.912743	2573.619194	2086.406571
MAST4	191.1168598	197.9825515	160.6165126	285.6472427	288.8551551	272.3514405
SOX4	293.2807112	284.4114826	322.3562177	448.5719662	468.3866577	401.7183748
GLS	4932.047995	4938.508924	5308.207264	6139.299812	6097.050304	6036.475142
COL4A1	2495.968575	2664.222051	2573.233779	3489.128171	3255.63831	3154.413291
PRRC1	1512.201144	1436.127239	1526.418466	1878.924085	1880.567416	1745.96727
FSTL3	1408.275847	1238.144688	1078.2647	1927.589912	1762.21704	1572.829569
FGF2	4762.068484	4995.793216	5088.061554	6923.2428	6707.858601	5848.747185
ASCC3	1631.979453	1595.920263	1571.346162	1943.459203	2085.173151	1951.203535
COL5A1	15804.57166	15959.20263	15273.1702	21698.61091	20326.1756	18346.76025
FAM129A	1497.228856	1891.386609	1872.361724	1070.648184	1108.281064	864.7158236
SREBF1	1044.537308	1163.775607	1186.09117	854.8258225	807.3902772	745.0757266
TNS3	1406.514402	1494.416518	1451.164576	2000.588651	1939.742604	1828.645386
IL11	280.0698683	293.4563708	232.500826	377.689132	398.1788075	399.7730073
LINC00862	31.70602283	26.12967685	20.21746313	85.6941728	79.23457378	48.63418581
SLC2A4RG	2399.969783	2440.109823	2448.559423	1958.270541	1891.600078	1817.945865
BTG1	1319.322839	1472.306792	1569.099777	1155.284404	1077.189016	1154.575571
HMCN1	258.0517969	364.8104883	283.0444838	524.7445643	566.6776479	391.9915376
VWCE	30.82529997	48.23940341	20.21746313	100.5055113	80.23754307	48.63418581
UBR3	884.2457477	893.4339507	748.0461357	1178.559364	1105.272156	1003.809595
ADM	3376.691431	3883.271975	3527.947316	3025.744867	2863.477318	2764.367121
CA12	941.4927334	939.6633789	927.7569191	1127.777632	1135.361234	1164.302408
NFASC	2254.650512	2338.606078	2316.022721	3042.672111	2838.403086	2684.607057
ZFP36L2	2308.374606	2434.079897	2386.783842	1900.08314	1927.706972	1912.296186
TUBE1	310.8951683	317.5760725	347.0664504	247.5609436	200.5938577	212.0450501
VCAN	4586.804636	5359.598716	5291.359378	6634.421699	6742.962526	5983.950222
RAD23A	2130.468589	2249.162184	2062.181239	1804.867392	1772.246733	1612.709601
MSMO1	630.5975651	577.8678534	531.2700033	783.9429882	768.2744749	799.5460147
LIMK2	716.908405	675.3516478	567.21216	914.0711765	917.7168989	792.7372287
GIT1	1413.560184	1342.663395	1441.055844	1029.388026	1058.132599	1214.881961
KLF11	162.0530056	154.7680859	188.6963225	95.21574755	93.27614382	111.8586274
ACSL4	2303.090269	2093.389111	1934.137306	2531.680932	2555.565747	2538.704499
KCTD12	674.6337079	757.7606286	858.1189906	1105.560624	1011.996012	900.7051211
PSPH	585.6806995	571.8379279	631.2341266	459.1514938	435.2886712	447.4345094
THBD	498.4891367	558.7730895	599.7847395	366.0516517	333.988773	376.4285981
SELPLG	206.9698712	219.0872905	116.8120092	300.4585812	313.9293873	276.2421754
SH3RF3	318.821674	295.4663459	390.8709538	232.7496051	206.6116734	219.8265198
COL1A1	167967.9403	180421.3987	168991.0351	237918.7623	230388.0634	192954.1868
METRNL	4030.187791	4607.868013	4867.915844	3703.89258	3505.377663	3063.953706
HSP90B1	12007.77542	10786.5316	10688.29884	13513.23048	14091.7185	15631.02732
ARNTL	177.0252941	166.8279368	116.8120092	259.1984239	258.7660764	258.7338685
CEMIP2	892.1722535	1033.127223	889.5683776	1321.382985	1226.63144	1132.203846
SEC23B	955.5842991	925.593553	840.1479122	1100.270861	1112.292941	1170.138511
TNFRSF11B	1051.58309	1326.583594	1403.990495	860.1155862	888.6307895	665.3156618
ANTXR1	5301.951595	4996.798203	5272.265107	5895.970679	6229.44225	6076.355175
MYH2	57.24698566	84.41895597	78.62346772	34.91244077	35.10392509	25.28977662
APLP1	232.5108341	255.2668431	187.5731301	369.22551	394.1669303	285.9690125
TPM1	34779.7456	31915.39029	30708.08011	38626.91288	38813.90849	37604.92515
SLC36A1	364.6192625	413.0498917	307.7547165	567.0626743	518.5351221	472.724286
CMBL	393.6831168	426.1147301	384.1317994	549.0774775	624.8498667	525.2492067
HAX1	1351.028862	1491.401555	1688.158171	1248.384246	1154.417651	1196.400971
MEG3	4282.95525	5127.446588	4837.58965	6759.260123	6300.65307	5483.018108
ADAM12	1821.334867	1923.546211	2066.674009	2465.029909	2568.604348	2221.609608
NABP1	1531.577047	1506.476369	1353.446837	1817.562825	1764.222978	1939.53133
FNBP1	918.5939391	963.7830807	1008.626772	694.0170044	718.1260105	807.3274844
RALGPS2	1144.05899	1101.466378	1159.134553	788.1747992	822.4348165	969.765665
YARS	3658.522745	3758.653516	3965.99235	3169.626441	3090.148378	3168.030863
SYNPO	419.2240796	453.2493946	416.7043789	692.9590516	677.0042697	536.9214113
KLF4	381.3529968	586.9127415	657.0675517	366.0516517	319.947203	266.5153382
MFAP3L	125.0626456	102.5087322	74.13069814	183.0258258	185.5493184	149.7932923
COPB2	3566.046845	3576.750765	3503.237083	3985.308011	4080.079065	3999.675441
SLC6A17	152.3650541	98.48878196	81.99304491	206.3007864	202.5997963	207.1816315
PDIA6	4235.396216	3766.693416	4107.514592	4862.350842	4904.51982	5163.977849
PHLDB1	2719.67218	2921.498869	2984.322196	3746.21069	3688.921043	3151.49524
TGFBI	72573.32481	64954.35669	64977.8033	77481.28559	77480.3805	82414.51858
IER2	904.5023734	836.1496591	910.9090332	724.6976341	725.1467955	666.2883456
IMPAD1	4483.760062	4380.740822	4289.47176	4871.872416	4978.739548	4967.495738
P4HA2	2438.721589	2501.414064	2556.385893	3248.972897	3154.338412	2848.990605
SLC7A8	782.9626193	708.5162376	777.249138	969.0847195	914.707991	964.9022464
SLC7A5	10261.302	12697.01297	13895.01313	8151.525943	7548.346864	5552.078652
AMOTL1	2043.277027	2183.837992	2030.731852	2605.737625	2594.681549	2388.911207
ARCN1	4690.729933	4714.396696	4596.103285	5373.34202	5577.512213	5256.382802
FOSL1	3591.587808	3332.538786	3016.894776	2404.726602	2313.850148	2883.034535
LMAN1	3374.049263	3516.451511	3451.570233	4008.582972	3944.678211	4055.118413
LONP1	2392.924001	2601.912821	2784.39395	2057.7181	1942.751512	1882.142991
RAPGEF1	1881.224021	1950.680875	1877.977686	1613.377945	1552.596458	1486.260718
SESN1	283.5927597	344.7107369	307.7547165	428.470864	443.3124255	412.4178956
SH2D4A	1815.169807	1896.411547	1863.376185	1636.652905	1550.59052	1461.943625
CDK6	2052.964978	2007.965167	2032.978237	2396.26298	2388.069876	2268.298426
WBP2	968.795142	1173.825483	1150.149014	891.8541687	856.5357723	760.638666
CTXN1	219.2999912	241.1970171	203.2978237	142.8236213	137.4067925	132.2849854
HIST1H4H	49.32047995	59.29426669	49.42046542	103.6793696	117.3474067	85.59616702
SIRPA	2318.943281	2553.673418	2336.240184	3044.788016	2869.495134	2735.18661
TMEM30A	5350.391352	5180.710929	4793.785146	5999.650049	5932.563341	5964.496547
SEC24C	1104.426462	1025.087322	938.9888431	1268.485348	1258.726457	1227.52685
FLJ46906	79.26505707	97.48379439	53.91323501	28.56472427	39.11580225	40.85271608
CHST8	26.42168569	16.07980114	0	66.65102329	69.2048809	31.12587892
CTNND1	3545.79022	3322.48891	3269.613065	3758.906123	3948.690088	3960.768092
WASF2	3057.869757	2941.598621	3216.823022	2571.883137	2568.604348	2706.006098
KPNA1	962.630082	919.5636275	840.1479122	1126.719679	1132.352327	1068.979404
PXK	668.468648	698.4663619	735.6910194	533.2081863	537.5915386	510.658951
EGLN1	979.3638162	955.7431801	1038.952966	819.9133817	775.2952599	818.999689
TWIST2	2692.369772	2657.187138	2519.320544	2148.702036	2175.440387	2295.53357
GALNT10	5255.273284	5303.319413	5161.06906	6200.661071	6132.154229	5596.822103
ZRANB2	1013.712008	981.8728569	885.0756081	1142.588971	1197.54533	1241.144422
CTHRC1	4261.817902	4301.346804	4373.71119	5199.837769	5202.401699	4697.089665
RNF41	1011.950562	1123.576104	1245.620367	930.9984205	921.728776	787.8738101
FKBP14	683.4409365	723.5910512	527.9004261	853.7678697	884.6189124	865.6885074
LUZP1	1214.516819	1319.548681	1334.352566	1595.392748	1591.712261	1499.87829
KRT16	22.01807141	37.18454013	67.39154376	12.69543301	14.04157004	5.836102297
RCAN1	2562.022789	2684.321802	2824.828876	2240.743926	2159.392878	2215.773505
PTCHD4	19.37590284	22.10972656	12.35511636	55.01354303	61.18112659	30.1531952
COL6A3	62950.54688	59255.07218	62972.90488	71772.57255	72647.0715	75026.98576
UGDH	1763.207158	1615.015027	1564.607008	2010.110226	2022.989055	2018.318711
GPT2	681.6794908	674.3466602	755.9084825	603.0330678	477.4133813	471.7516023
TRIO	6540.247931	6218.86309	6128.137713	7384.510199	7452.061813	7183.269244
DSE	1382.734884	1457.231978	1204.062249	1715.999361	1747.1725	1560.184681
AP1G1	1629.337284	1687.374132	1705.006057	1965.676211	2063.107826	1948.285483
RDH10	1014.59273	1417.032475	1226.526096	2287.293847	2103.226598	1494.042188
H1FX	1555.356564	1412.007537	1655.585592	1156.342356	1006.981166	1316.041068
PMP22	790.889125	818.0598828	846.8870666	607.2648788	649.9240989	682.8239687
CYFIP2	63.41204566	49.24439098	77.50027533	130.1281883	126.3741303	98.24105533
MID1IP1	1207.471036	1276.334215	1490.47631	1116.140152	1010.993043	1006.727646
MAGT1	1689.226438	1613.005052	1483.737155	1860.938888	1985.879191	1973.57526
HSPA4L	79.26505707	111.5536204	59.52919699	143.8815741	128.3800689	154.6567109
PLEKHF1	195.5204741	235.1670916	190.9427073	141.7656686	121.3592839	112.8313111
AARS	4464.384159	4596.81315	4450.088273	3835.078721	3842.375344	3738.996205
IFRD1	893.0529763	846.1995348	905.2930712	706.7124374	706.090379	726.594736
MAP3K4	635.0011794	608.0174805	496.451039	753.2623584	742.1972734	726.594736
PAK1	991.6939362	997.9526581	849.1334514	771.2475552	755.2358742	768.4201357
KCNC4	938.8505648	1073.326726	986.1629237	1521.336055	1363.035263	1139.012632
AKNA	310.0144454	310.5411595	438.0450344	224.2859831	241.7155985	218.8538361
SEC14L2	350.5276968	370.8404137	304.3851393	531.0922808	506.4994906	411.4452119
PER3	387.5180568	383.9052521	335.8345264	256.0245656	225.6680899	301.531952
DNAJA1	2739.928806	2331.571165	2308.160374	3040.556205	2882.533735	3215.692366
AK5	2090.836061	2076.304322	2107.108935	1604.914323	1687.997312	1763.475577
CEBPB	2193.880635	2676.281902	2413.740459	1897.967235	1785.285333	1609.79155
OSR2	132.1084284	164.8179617	128.0439331	93.09984205	97.28802097	64.19712527
HSPB8	605.9373252	610.0274556	512.1757326	771.2475552	775.2952599	713.9498476
GOT1	920.3553849	968.8080185	1252.359522	843.1883422	750.2210277	796.6279635
HSP90AB1	20102.4992	18878.69152	19327.89475	21406.61596	21779.4781	22256.94879
RIN3	1062.151765	1026.09231	1063.663199	844.246295	819.4259086	849.1528842
SAFB2	978.4830934	944.6883168	1019.858696	770.1896024	758.244782	790.7918612
AKAP1	339.9590225	319.5860476	422.3203409	235.9234634	217.6443356	278.1875428
ATP8B2	2951.302292	3068.227054	2922.546614	3588.57573	3449.211383	3237.091407
CALR	22239.13285	19235.46211	18674.19678	24313.87011	24161.53016	26113.63973
PITPNM3	473.8288967	424.104755	394.240531	607.2648788	599.7756345	606.9546389
CDKN1A	11531.30436	14796.43201	14303.85516	23701.31547	23131.4807	16027.88227
NAV1	2955.705906	3064.207104	3164.03298	3708.124391	3577.591452	3510.415532
GOSR2	834.9252678	782.8853179	690.7633236	919.3609403	1003.972258	969.765665
AC132872.4	7.926505707	9.04488814	0	30.68062977	32.09501723	14.59025574
FAM168A	1123.802365	1099.456403	1156.888168	1341.484088	1332.946184	1327.713273
LINC02593	332.9132397	301.4962713	280.798099	432.702675	467.3836884	452.297928
UBE2B	1002.26261	1098.451415	1163.627322	880.2166885	847.5090487	884.169498
FOXC2	379.5915511	485.4089968	475.1103835	335.3710219	359.0630052	245.1162965
DOCK11	476.4710653	500.4838104	603.1543167	411.54362	389.1520839	382.2647004
ZFP36	656.138528	910.5187394	766.0172141	613.6125953	553.6390472	552.4843508
P3H2	200.8048112	181.9027504	179.7107834	276.1256679	255.7571685	247.0616639
TENM3	2400.850506	2437.09486	2411.494074	2744.329435	2791.26353	2748.804182
SPTLC2	1733.262581	1703.453933	1730.839482	2007.994321	2035.024686	2034.854334
GAS1	412.1782968	447.2194691	469.4944215	269.7779514	254.7541993	297.6412171
GTPBP2	1082.40839	1116.541191	1149.025821	977.5483415	850.5179566	874.4426608
DENND3	413.0590196	455.2593697	450.4001508	311.0381087	326.967988	344.3300355
PER1	214.8963769	226.1222035	243.7327499	167.1565346	136.4038232	145.9025574
LACTB	739.8071993	782.8853179	800.8361784	1018.808499	996.9514727	871.5246097
HEBP1	946.7770705	1058.251912	1151.272206	864.3473972	824.4407551	732.4308383
PUS7L	520.5072081	532.6434127	552.6106588	721.5237759	662.9626996	678.9332339
DSP	10468.27187	13086.94815	12924.5749	18503.59361	18099.58378	13352.02937
AMZ1	48.4397571	71.35411755	83.11623731	126.9543301	154.4572704	89.48690188
KIAA1522	243.9602312	237.1770668	384.1317994	158.6929126	156.463209	220.7992036
VCP	9500.357451	9029.813326	8921.517202	10385.92215	10125.97794	10348.38206
PTER	235.1530026	295.4663459	271.8125598	186.1996841	193.5730727	193.5640595
SARS	4599.134756	5275.179761	5416.033734	4322.794939	4349.877804	3977.303715
DCTN5	1452.31199	1427.082351	1353.446837	1709.651645	1701.035913	1598.119346
EXOSC5	246.6023998	277.3765696	374.0230679	194.6633061	176.5225948	202.318213
HIST1H2BK	328.5096254	417.069842	304.3851393	642.1773196	565.6746787	400.745691
EHBP1L1	2495.968575	2957.678422	2818.089722	2302.105185	2216.562127	1928.831809
VLDLR	416.581911	499.4788228	609.893471	380.8629902	334.9917423	339.4666169
NNMT	1727.097521	2248.157196	2236.27606	1714.941409	1603.747892	1412.336756
ATP10A	2419.345686	2729.546243	2686.676211	3440.462345	3342.896638	2874.280381
ANGPTL2	1062.151765	1230.104787	1355.693222	958.505192	915.7109603	741.1849917
SEL1L	2282.833644	2447.144736	2330.624222	2766.546443	2829.376363	2661.262647
AKR1C1	331.151794	297.476321	283.0444838	232.7496051	191.5671341	219.8265198
PKN1	4164.938388	4300.341817	4603.965631	3624.546123	3717.004183	3400.502272
HMGCR	495.8469681	520.5835618	447.0305736	582.9319656	696.0606861	659.4795595
RNFT1	102.1638513	103.5137198	47.17408063	136.4759048	148.4394547	147.8479249
RUNX3	163.8144513	187.9326758	215.65294	132.2440938	115.3414682	109.9132599
TXN	4335.798622	4588.773249	4481.53766	3949.337618	3726.030906	3679.662498
LARP6	1855.683058	2260.217047	2039.717391	1762.549282	1742.157654	1500.850974
TOR4A	976.7216477	1178.850421	1042.322544	860.1155862	733.1705498	740.212308
ATXN2L	2295.163764	2243.132259	2638.378938	1983.661407	1883.576324	2020.264078
DNM3OS	254.5289055	231.1471413	199.9282465	320.5596834	299.8878172	366.701761
