Gene	CTRL_1	CTRL_2	CTRL_3	FTY_1	FTY_2	FTY_3
TGFA	9.22635595	9.579788855	16.04761744	40.51325139	26.12967685	33.69577188
LINC00205	541.2795491	537.4261548	511.3840757	391.9216711	409.0299414	406.5956474
NQO1	6098.621283	5932.763238	5981.48194	7092.461162	7048.982823	7132.271715
A4GALT	331.1236635	319.9649478	353.0475837	432.4349225	423.0997674	551.4874664
SCUBE3	3570.599753	3244.674485	3185.986982	3856.685388	5275.179761	5020.67001
LINC00968	156.8480511	149.4447061	140.1491923	93.35662277	104.5187074	77.50027533
CXCL12	7740.912642	8628.515822	8273.08171	9980.351408	9167.496623	9496.591708
CTSK	1097.936358	907.2060046	929.6919703	1181.930073	1144.680843	1355.693222
KCNIP3	210.1558855	170.5202416	166.8952214	261.5746883	247.2269425	290.9068306
PACSIN3	345.4757728	358.2841032	405.4698006	527.5529909	467.3192205	489.7118847
PBX4	12.30180793	13.4117044	14.97777628	40.51325139	39.19451527	44.92769584
BDNF	1340.897065	1436.010349	1394.003035	1587.94331	1674.309293	1585.947663
CABLES1	470.5441534	416.7208152	422.5872592	559.2590138	544.7032635	616.6326254
MBNL2	2032.873761	2071.15035	2121.495025	1733.262581	1830.082367	1693.774133
PTN	168.1247084	204.0495026	189.3618858	352.2891425	256.2718306	284.1676762
NDUFA4	1620.763195	1958.108842	2060.514079	2252.008344	2335.591115	2463.160924
AC022149.1	1384.978543	1349.79225	1357.628435	1557.998733	1650.189592	1676.926247
SLC20A1	3940.679141	3574.219222	3496.240919	4220.423928	5256.084997	4820.741764
PLCB4	1067.181838	1040.36507	1035.606245	827.8794849	862.279336	823.3000263
SLC4A7	1000.547045	949.3570755	879.4094356	679.0373222	798.965119	752.5389053
ITGA4	1083.584249	1182.145945	1073.050686	876.319242	929.6135032	790.7274468
ITGA2	1102.036961	1161.070409	1050.584022	1351.909584	1342.663395	1255.729099
MIR222HG	263.4637199	260.5702569	274.9491788	202.566257	197.9825515	152.7541659
ANTXR2	2292.236878	1996.427997	2026.279162	2323.346895	2449.154711	2887.72765
DHCR24	2194.847565	2785.802599	2655.345766	2145.440878	1911.48636	2015.007158
DDX60L	361.8781834	387.9814486	357.3269483	276.5469769	276.371582	260.5806359
CPT1C	214.2564882	227.0409959	237.5047381	149.7228856	166.8279368	146.0150115
GIT1	1171.747206	1065.272521	1214.26972	1413.560184	1342.663395	1441.055844
FTL	36294.43401	36002.76247	34693.87906	41124.47305	46947.99438	42629.6442
SPAG7	811.9193236	717.5261852	826.9872187	885.1264706	965.7930558	1078.2647
CEP104	951.3398135	911.995899	1039.88561	861.3469535	797.9601314	671.6690528
SAMD1	631.4928072	734.7698052	722.1427847	982.0059848	873.3341993	925.5105343
NFASC	2933.981192	2737.903655	2552.641014	2254.650512	2338.606078	2316.022721
COL5A2	5922.295369	6426.122364	6036.043839	5222.686538	5284.224649	5631.686674
CA12	779.1145024	800.8703483	794.8919838	941.4927334	939.6633789	927.7569191
TBC1D14	433.6387296	416.7208152	401.190436	336.4361311	340.6907866	281.9212914
NEFM	304.4697463	179.1420516	182.9428388	335.5554083	495.4588725	400.9796854
SZT2	765.7875438	664.8373465	693.2570733	542.5252795	608.0174805	515.5453098
BDKRB1	95.33901148	132.2010862	118.752369	235.1530026	142.7082351	201.0514389
MMP16	905.2080338	790.3325805	767.0761136	1004.904779	940.6683665	1072.648738
DDIT4L	27.67906785	54.60479647	39.58412302	184.9517998	70.34912997	79.74666012
SPHK1	2252.256002	2537.686068	2532.314032	3505.276968	2762.710833	2934.901731
SYPL2	102.5150661	98.6718252	89.86665766	44.03614282	64.31920455	50.54365782
BGN	12627.80584	10932.45504	10622.4529	13113.08261	15415.50435	13672.62104
COX7B	428.5129763	511.5607248	568.0856573	642.9276851	665.301772	672.7922452
SELPLG	257.3128159	275.897919	278.1587023	206.9698712	219.0872905	116.8120092
AC012676.5	47.15693041	29.69734545	27.81587023	18.49517998	10.04987571	0
KRT16	12.30180793	10.53776774	17.1174586	22.01807141	37.18454013	67.39154376
CDA	142.4959419	224.1670592	250.342832	125.9433685	91.45386897	97.71773845
RPLP0	27447.3838	29741.41248	30659.50804	32286.41919	32986.70705	32518.66625
AC007743.1	138.3953392	149.4447061	160.4761744	94.23734563	94.46883168	103.3337004
FBN1	22176.0591	22291.21069	20727.10268	17265.69088	19729.916	18114.84696
CD81	9940.885961	9594.158538	8995.224495	10808.23089	11633.73612	11316.16339
ACOT7	940.0631562	1021.205492	1001.371328	1210.993927	1196.940197	1129.93155
METAP1D	129.1689833	125.495234	127.3110983	89.83373135	83.4139684	65.14515897
PLEKHG4B	17.42756124	28.73936656	16.04761744	120.6590313	29.14463956	58.40600459
GPER1	265.5140212	263.4441935	280.2983846	202.566257	166.8279368	94.34816127
DACT3	387.5069499	428.2165618	396.9110713	570.7084109	524.6035121	532.3931957
RAB30	305.494897	337.2085677	270.6698141	228.1072198	249.2369176	156.123743
SHROOM2	154.7977498	158.0665161	150.8476039	89.83373135	125.6234464	62.89877418
TSPAN18	15.37725992	16.28564105	11.76825279	59.88915423	46.22942827	41.55811865
RFLNB	2968.836315	2889.264319	2788.00607	3920.978156	3391.833052	3213.453445
MAPRE2	567.9334663	699.3245864	682.5586617	526.6722681	513.5486488	469.4944215
RBM38	132.2444353	115.9154451	138.00951	190.236137	169.8428995	187.5731301
LINC01705	44.08147843	78.55426861	72.74919906	26.42168569	31.1546147	29.2030023
PDE1C	1318.34375	1142.86881	1243.155431	735.403585	1053.226974	958.0831138
MOSPD2	881.6295686	802.786306	886.8983238	638.5240708	761.7805789	648.0820125
ADM	4390.720282	4181.577835	4171.310693	3376.691431	3883.271975	3527.947316
CCDC136	185.5522697	163.8143894	161.5460155	125.9433685	119.593521	99.96412325
PITPNM3	389.5572512	274.9399401	283.5079081	473.8288967	424.104755	394.240531
PARD6G	70.73539562	68.01650087	79.16824603	146.1999941	94.46883168	106.7032776
AP2S1	3303.03543	3571.345285	3403.164738	3863.731171	3999.850533	3741.353871
PTPRU	197.8540776	162.8564105	167.9650625	290.6385426	180.8977628	333.5881416
EGFR	2432.682519	2165.99026	2117.215661	1892.673418	1809.982615	2012.760774
CNN3	4457.355075	4741.037504	4538.266212	5530.939538	5110.361799	5017.300433
RDH10	1826.818478	1768.429023	1878.641081	1014.59273	1417.032475	1226.526096
PLAGL1	1083.584249	1066.2305	1078.399892	859.5855078	878.3591371	932.2496887
CCDC80	28943.07862	29125.43206	28371.11779	24263.03397	26447.25292	25892.95431
UBA52	6445.122206	7224.118775	7413.999257	8093.84305	8135.374388	7887.057005
NHS	249.1116106	236.6207847	226.8063265	196.401197	165.8229492	129.1671255
TBX1	13.32695859	11.49574663	13.90793511	64.29276851	20.09975142	47.17408063
SH3BGRL3	10624.66145	11209.31094	10808.60527	12281.68023	13317.0903	12314.68143
E2F7	381.3560459	408.0990052	387.2825009	623.5517823	457.2693448	526.7772337
NBPF11	139.4204899	125.495234	116.6126867	70.45782851	95.47381925	68.51473616
OPCML	29.72936917	24.90745102	27.81587023	36.99035997	65.32419212	73.00750574
GPX4	2947.308151	2928.541453	3135.704448	3399.590225	3428.012605	3529.070508
SYNGAP1	508.4747279	480.9054005	404.3999595	359.3349254	389.9351776	289.7836382
PREX1	157.8732018	110.1675718	119.8222102	230.7493884	197.9825515	215.65294
PLSCR4	323.9476089	284.519729	296.346002	218.4192684	259.2867933	179.7107834
C1R	580.2352742	491.4431683	466.4507469	352.2891425	412.0449041	390.8709538
ELN	1233.256245	1745.437529	1456.053822	3152.987826	1830.082367	2292.43568
CAPNS1	9980.866837	9957.232536	10137.81486	10922.72486	11746.29473	11203.84415
MYPN	889.8307738	866.9708914	898.6665766	519.6264852	718.5661133	703.1184399
RNF182	72.78569694	67.05852198	68.4698344	156.7686684	86.42893111	144.8918191
UGDH	1760.183685	2086.478013	2003.812498	1763.207158	1615.015027	1564.607008
ID2	2192.797264	2935.247305	2758.050517	3315.921554	3281.28442	3043.851393
FHOD3	459.2674962	407.1410263	376.5840892	524.0300995	525.6084997	514.4221174
ECHDC2	301.3942944	240.4527003	257.8317202	175.2638484	202.0025018	195.4354769
RNF213	3259.979102	2541.517983	2498.079115	2127.826421	2364.735755	2293.558873
SPOCD1	1898.579024	1863.268932	1947.110916	2265.219186	2069.269409	2329.501029
CDK6	2305.563837	2341.300396	2203.872795	2052.964978	2007.965167	2032.978237
HLA-A	4766.950574	4365.509781	4379.92972	5121.40341	5502.306952	5385.707539
RACK1	13252.1226	14310.28859	14373.31602	15563.25359	15365.25497	15038.42299
PPDPF	5224.167769	4935.507218	5165.193133	6438.964803	6994.713495	6507.776743
KCTD4	37.93057446	46.94096539	46.00316999	60.76987709	70.34912997	104.4568928
BTBD11	3.075451983	13.4117044	2.139682325	41.39397425	17.08478871	19.09427073
FUOM	138.3953392	153.2766217	166.8952214	199.0433655	236.1720792	240.3631727
PTCH2	11.27665727	20.1175566	20.32698209	7.926505707	2.009975142	0
WNT5A	4227.721326	3716.958076	3479.123461	2307.493884	3096.366706	3091.025474
PLAUR	1476.216952	1528.934301	1522.383974	1739.427641	1650.189592	1864.499377
BTBD19	289.0924864	212.6713126	216.1079148	166.4566198	186.9276882	141.5222419
BEGAIN	21.52816388	16.28564105	13.90793511	4.403614282	7.034912997	0
ADAMTS2	6529.184561	6491.264928	6313.1327	4824.599807	5929.426669	5498.026779
MARCKSL1	392.6327032	552.7538169	530.6412166	1068.316825	642.1870579	834.5319502
NABP1	1704.825549	1713.824226	1811.241088	1531.577047	1506.476369	1353.446837
GSR	717.6054628	797.0384327	763.8665901	983.7674305	850.2194851	999.6412325
LRRC8A	1884.226915	1912.125855	1679.650625	2193.880635	1990.880378	2148.667054
FLII	6052.489503	6141.602635	6176.193032	5510.682912	5673.154839	5429.512042
ST3GAL1	1658.69377	1533.724196	1503.126833	2348.007135	1712.498821	2032.978237
ATF4	7027.407782	6155.972318	6154.796208	7220.165976	7580.621249	7227.743068
TBX5-AS1	515.6507825	581.4931835	546.6888341	708.1011765	609.0224681	704.2416323
NXPH4	159.9235031	146.5707695	177.593633	195.5204741	220.0922781	315.6170633
PRSS3	41.00602644	52.6888387	57.77142278	30.82529997	26.12967685	10.10873156
PRAG1	793.4666117	984.8022943	925.4126056	775.9168364	704.4962873	567.21216
OAZ1	13985.10532	14310.28859	13707.87482	15013.68253	15830.56422	15721.32397
MCAM	1511.072074	1621.858253	1598.342697	2230.870995	1723.553684	1892.579187
HIF1A	9210.97869	9233.958477	8768.418168	7512.565964	8233.86317	7761.259456
ANP32B	2685.894732	2694.794605	2777.307658	3331.774565	3044.107353	3147.185094
LIMS2	744.25938	752.971404	774.5650017	530.1951595	636.1571325	512.1757326
SNHG5	1739.680672	1843.151376	1970.647421	2170.101118	2092.384123	2156.5294
COTL1	7640.447877	8471.407284	8375.786462	9492.430945	9018.758463	8801.335615
AUTS2	574.0843702	535.510197	530.6412166	802.3385221	608.0174805	822.1768339
KRT18	279.8661305	312.3011167	298.4856844	231.6301112	222.1022532	168.4788594
BMF	17.42756124	3.831915542	13.90793511	20.2566257	25.12468928	60.65238938
NGF	440.8147843	427.2585829	451.4729706	347.0048054	372.8503889	214.5297476
ZNF185	200.9295296	163.8143894	163.6856979	340.8397454	248.2319301	214.5297476
EIF3D	3422.978057	3467.883565	3436.329814	3763.328765	3757.648528	3846.933956
PRRX1	3430.154112	3372.085677	3246.967928	3966.775745	3803.877956	3955.883619
C11orf45	32.80482116	45.02500762	33.16507604	17.61445713	19.09476385	13.47830875
CLIC3	257.3128159	399.4771952	342.349172	206.9698712	228.1321786	267.3197903
S100A11	6323.129278	7016.237357	6579.52315	7804.08523	8353.456691	7414.193006
GNAS	27280.28424	25962.18578	26554.5275	28250.06634	31730.47258	31047.28421
LSM10	643.7946152	771.1730028	831.2665833	651.7349137	611.0324432	512.1757326
FSTL3	1398.305502	1689.874754	1638.996661	1408.275847	1238.144688	1078.2647
MFAP3	394.6830045	415.7628363	405.4698006	336.4361311	312.5511346	326.8489872
BIRC2	2159.992443	2265.620064	2345.091828	2702.938446	2491.364189	2661.965979
RNASEL	154.7977498	175.310136	165.8253802	110.9710799	121.6034961	69.63792855
TBCK	749.3851333	640.8878744	609.8094627	530.1951595	549.7282014	560.4730056
RASAL2	906.2331844	825.7777993	816.288807	688.7252736	786.9052681	649.2052049
UBA7	309.5954997	260.5702569	316.6729841	221.0614369	228.1321786	207.7905933
RPL19	10278.16053	11547.47749	11730.80835	12774.00431	13003.53418	12038.3761
ERP29	1667.920126	1784.714664	1803.7522	1973.699921	2108.463924	2019.499928
RHOF	13.32695859	12.45372551	20.32698209	2.642168569	7.034912997	1.123192396
LRP5	779.1145024	652.383621	661.1618385	502.892751	561.7880522	587.4296231
HMGA1	11366.87053	9624.813862	10606.40529	11833.3923	14291.92825	13063.85076
RPL39	2535.197585	3314.606944	3214.872694	3586.303471	3821.967733	3541.425625
INHBA	1406.506707	1375.65768	1399.352241	935.3276734	1178.850421	1153.518591
MATN2	1186.099315	1604.614633	1492.428422	1239.177059	984.8878196	1005.257194
YARS2	360.8530327	394.6873008	380.8634539	305.6108311	329.6359233	256.0878663
NT5E	11203.87158	10140.2065	10183.81803	10996.70558	12754.29726	12598.84911
GEM	194.7786256	206.9234393	248.2031497	354.0505882	253.2568679	335.8345264
RPS26	4014.489989	5013.103508	4860.288402	5381.216652	5460.097474	5410.417772
EMX2	575.1095209	534.5522181	604.4602569	653.4963594	732.6359393	669.422668
TRIM58	36.9054238	45.02500762	34.2349172	23.77951712	19.09476385	7.862346772
SSX2IP	886.7553219	1019.289534	1031.326881	1560.640901	1128.601042	1277.069754
APCDD1L-DT	304.4697463	319.0069689	390.4920243	238.6758941	268.3316815	207.7905933
RPL37	3945.804895	4661.525257	5197.288368	5471.931106	5578.686007	5653.027329
MBOAT2	1367.550982	1722.446036	1557.688733	1328.130067	1278.34419	1275.946562
MGARP	36.9054238	37.36117653	37.44444069	21.13734855	20.09975142	10.10873156
B2M	11941.98005	11730.45145	11943.70674	12799.54527	13825.61402	13242.43835
MT2A	8536.429555	10414.18846	10084.3228	11448.51641	13349.24991	12081.05741
COL4A2	6324.154428	6959.716603	6672.599331	6051.446746	5741.493994	5431.758427
URB1	1506.971472	1422.598645	1403.631605	1314.919224	1270.30429	1217.540557
MKX	1509.021773	1291.355538	1316.974471	930.0433363	1196.940197	990.6556933
CRLF1	1293.740134	1442.716202	1500.987151	828.7602078	1125.58608	916.5249952
CDH10	25.62876653	23.94947214	24.60634674	39.63252853	50.24937855	53.91323501
XDH	29.72936917	22.99149325	27.81587023	7.045782851	12.05985085	13.47830875
NTM	1533.625389	1085.390077	1122.26338	1466.403556	1863.246957	1637.614513
AKIRIN2	933.9122523	911.995899	939.3205407	1076.24333	1067.2968	1088.373432
RPGR	99.43961413	71.84841641	60.98094627	125.9433685	109.5436452	147.1382039
PARVB	970.8176761	950.3150544	1003.51101	1121.160196	1086.391564	1238.881213
RHOB	3441.430769	3605.832525	3603.225036	2585.802306	3193.850501	2820.336106
NFAT5	1374.727037	1246.33053	1097.657033	1002.26261	1057.246925	1023.228273
PLXNA4	118.9174767	85.26012081	78.09840487	185.8325227	120.5985085	192.0658997
PTPN14	4948.402241	4303.241154	4154.193234	3700.797442	3889.3019	4027.767932
SLC25A6	7663.001192	7807.527917	8203.542035	8759.669529	8682.087626	8931.625933
STARD7	2124.11217	2044.326942	2063.723603	2330.392678	2387.850469	2294.682065
RBM24	333.1739649	341.0404832	350.9079013	448.2879339	418.0748296	411.0884169
PCDH10	143.5210926	133.1590651	105.9142751	163.8144513	194.9675888	215.65294
TEDC2	120.967778	113.0415085	121.9618925	239.5566169	156.7780611	217.8993248
MAP3K8	48.18208107	41.19309208	46.00316999	22.89879426	26.12967685	13.47830875
ELOC	1379.85279	1764.597107	1650.764914	1890.03125	1793.902814	1964.463501
C12orf75	10497.54277	12273.62548	12275.3575	15497.19938	13201.51673	13331.17055
FYN	1262.985614	1254.95234	1364.047482	1408.275847	1451.202053	1585.947663
SERPINB7	788.3408584	1001.087935	937.1808584	779.4397278	686.406511	727.8286726
SERPINB2	288.0673358	233.7468481	246.0634674	329.3903483	326.6209606	329.095372
ADA	297.2936917	331.4606944	319.8825076	257.171074	241.1970171	219.0225172
METTL7A	61.50903967	77.59628972	75.95872254	45.79758853	42.20947798	16.84788594
RP9	131.2192846	144.6548117	163.6856979	201.6855341	202.0025018	203.2978237
UCHL1	1966.238968	1861.352974	1984.555357	2064.414375	2475.284388	2492.363927
INSIG1	783.2151051	1062.398584	1044.164975	772.393945	698.4663619	809.8217175
GDF5	68.68509429	30.65532434	47.07301115	20.2566257	39.19451527	11.23192396
UVSSA	316.7715543	317.0910111	319.8825076	252.7674598	276.371582	162.8628974
WISP2	29.72936917	22.03351437	34.2349172	17.61445713	8.039900569	11.23192396
RSRP1	1111.263317	1080.600183	1113.70465	966.1529734	942.6783417	886.1988005
RPS27	2383.475287	3264.792042	3452.377432	4009.931165	3952.616117	3875.013766
IKBIP	1603.335634	1879.554573	1902.177587	1608.199936	1440.147189	1429.82392
NES	681.7251896	727.1059741	753.1681785	1355.432476	895.4439258	1034.460197
IL24	4.100602644	3.831915542	4.27936465	30.82529997	7.034912997	15.72469354
AKAP13	1005.672799	947.4411177	957.5078405	901.8602049	792.9351936	754.7852901
MICAL3	845.7492954	832.4836515	777.7745252	707.2204536	670.3267099	673.9154376
MTHFR	283.9667331	251.9484469	259.9714025	201.6855341	224.1122283	149.3845887
RPSAP19	95.33901148	147.5287484	131.590463	161.1722827	185.9227006	196.5586693
STAT3	2313.765042	2036.663111	2176.056925	1755.280653	1949.675888	1857.760223
RPS11	7864.955872	8677.372745	9102.208611	9850.885148	9713.204874	9150.64845
BPTF	1316.293449	1183.103924	1213.199878	1028.684296	1022.07236	1154.641783
