Gene	Eto_1	Eto_2	Eto_3	FTY_1	FTY_2	FTY_3
TEDC1	69.47275429	56.78256786	58.0075872	290.6385426	206.0224521	270.6893674
ORC6	23.15758476	35.62827787	30.93737984	421.8662482	276.371582	360.5447591
DHFR	122.4043766	94.6376131	99.25742699	755.6602107	495.4588725	641.3428581
BARD1	24.2603269	28.94797577	32.22643733	253.6481826	181.9027504	216.7761324
C19orf48	307.6650547	244.9444104	282.303591	822.5951478	642.1870579	673.9154376
KIF14	23.15758476	15.58737157	19.3358624	449.1686567	269.336669	261.7038283
STMN1	833.6730515	809.429938	706.4035063	4687.207041	3186.815588	3525.700931
SLC30A1	1799.675159	1748.012383	1775.032168	1105.307185	1189.905284	1196.199902
RBL1	59.54807511	47.87549839	54.14041472	334.6746854	264.3117312	252.7182891
TNFRSF10B	4525.653708	4495.843314	4525.880859	2244.081838	2461.214562	2593.451242
CCNF	74.98646495	66.80302101	55.42947221	558.3782909	408.0249539	435.7986497
CDC45	9.924679185	8.907069469	16.75774741	364.6192625	250.2419052	256.0878663
TUBB4B	4664.599217	4740.787725	4714.083253	10280.6779	8417.775895	8361.044196
SKA3	9.924679185	14.47398789	20.62491989	451.8108253	248.2319301	204.4210161
FAT1	14287.12706	14370.4432	13777.44649	7819.938241	9012.728537	9370.79416
MELK	119.0961502	141.3997278	152.1087842	986.4095991	806.000032	690.7633236
DLC1	6142.273673	6224.928175	6053.413989	3985.270925	4332.501419	4335.522649
IGF2R	5158.627692	5101.524038	4848.145232	2993.576989	3141.591147	3093.271859
DBF4B	55.13710658	40.08181261	41.24983979	302.9686626	195.9725764	235.8704032
TEDC2	31.97952182	32.28812682	37.38266731	239.5566169	156.7780611	217.8993248
DIRAS3	7.719194921	6.680302101	12.89057493	360.2156482	143.7132227	162.8628974
H2AFX	586.658814	539.9910865	596.8336194	2914.311932	2228.057445	1883.593648
CDKN3	22.05484263	18.92752262	21.91397739	446.5264882	291.4463956	258.3342511
CIT	112.4796974	101.3179152	123.7495194	899.2180363	589.9277042	542.5019273
SMC4	474.1791166	534.4241681	479.5293875	2207.972201	1526.57612	1817.325297
MCM7	526.0079968	499.9092739	540.1150897	3126.56614	2041.129757	2176.746863
DTYMK	497.3367014	469.8479145	469.2169276	1314.919224	1038.152161	1109.714087
INCENP	237.0895583	256.0782472	248.7880962	887.7686392	706.5062625	570.5817372
RNF213	3921.35102	3665.259086	3771.782225	2127.826421	2364.735755	2293.558873
CDCA4	226.062137	212.6562836	180.4680491	699.2939479	571.8379279	536.8859653
BRIP1	18.74661624	20.0409063	14.17963243	362.8578168	227.1271911	239.2399804
HELLS	39.69871674	38.96842893	56.71852971	322.3445654	216.0723278	213.4065552
DDIAS	16.54113197	12.24722052	7.73434496	196.401197	117.5835458	130.2903179
RANBP1	769.7140079	732.6064638	800.5047034	2106.689072	1577.830487	1618.520243
FABP5	55.13710658	73.48332312	77.3434496	422.746971	237.1770668	279.6749066
FANCA	40.80145887	26.72120841	21.91397739	425.3891396	229.1371662	333.5881416
DDX39A	580.0423612	681.3908144	647.1068616	1691.868607	1242.164638	1307.395949
MYO19	356.1857085	383.0039872	418.9436853	755.6602107	657.2618715	728.951865
SPC24	12.13016345	11.13383684	14.17963243	303.8493854	187.9326758	236.9935956
LIG1	258.0416588	204.8625978	229.4522338	726.5963565	544.7032635	609.893471
TYMS	116.890666	149.1934136	145.6634967	510.8192567	331.6458985	433.5522649
TNFRSF10C	94.83582332	94.6376131	105.7027145	19.37590284	26.12967685	5.61596198
PTTG1	92.63033906	95.75099679	85.07779456	849.0168335	578.8728409	473.9871911
DDB2	721.1933541	768.2347417	692.2238739	401.6096225	435.1596183	321.2330253
DNMT1	1285.797325	1172.393019	1245.229539	3092.217949	2419.005084	2823.705684
HEG1	4763.846009	4825.404885	4594.200906	3005.026386	3216.965215	3268.489872
DONSON	105.8632446	122.4722052	145.6634967	391.0409482	317.5760725	339.2041036
CDK2	198.4935837	200.409063	199.8039115	709.8626222	535.6583754	611.0166634
ATAD2	328.6171552	358.5095461	310.6628559	1624.93367	1061.266875	1317.504681
RECQL4	153.2811563	131.3792747	114.7261169	846.3746649	574.8528907	532.3931957
SAPCD2	2.205484263	4.453534734	1.289057493	230.7493884	137.6832972	139.2758571
MALAT1	5511.505174	8100.979682	6327.983235	2011.571004	2269.261935	2164.391747
RFC2	142.253735	171.4610873	143.0853818	553.9746766	388.93019	413.3348017
MASP1	862.3443469	922.9950737	881.7153254	376.0686597	431.139668	431.3058801
UBE2T	28.67129542	42.30857998	38.6717248	354.0505882	268.3316815	306.6315241
E2F1	44.10968526	57.89595155	82.49967957	692.2481651	467.3192205	493.0814619
VWCE	145.5619614	118.0186705	168.8665316	30.82529997	48.23940341	20.21746313
RDH10	3250.883804	3147.535673	3305.143413	1014.59273	1417.032475	1226.526096
NCAPG2	153.2811563	155.8737157	159.8431292	1138.774653	717.5611257	739.0605966
CKS2	62.8563015	80.16362522	110.8589444	846.3746649	531.6384251	508.8061554
C4orf46	100.349534	135.8328094	123.7495194	474.7096196	393.9551279	451.5233432
MIS18A	76.08920708	47.87549839	63.16381717	335.5554083	218.0823029	296.5227925
XRCC2	6.61645279	7.793685785	10.31245995	150.6036084	83.4139684	147.1382039
FGF2	7853.729461	7969.600407	8081.101426	4762.068484	4995.793216	5088.061554
FSCN1	7367.420181	6951.96772	7727.899672	13172.09104	11132.24732	10708.5163
MEG3	7467.769715	7731.336299	8069.499908	4282.95525	5127.446588	4837.58965
FLRT2	5502.683237	5830.790351	5398.572782	3263.078183	3500.37171	3839.07161
ABL2	2518.663029	2564.122623	2508.505882	1703.318004	1708.478871	1792.615064
TP53INP1	1559.277374	1460.759393	1396.049265	575.992748	723.5910512	816.5608719
USP1	336.3363501	377.4370687	384.139133	1048.060199	763.790554	922.1409571
DBF4	66.1645279	45.64873103	64.45287467	383.9951654	214.0623526	249.3487119
HNRNPAB	2199.970553	2158.850962	2242.960038	3713.127562	3292.339283	3317.910338
GINS1	31.97952182	18.92752262	18.04680491	399.8481768	209.0374148	201.0514389
PLK4	12.13016345	10.02045315	27.07020736	299.4457712	203.0074894	189.8195149
AVPI1	632.9739836	611.2476423	679.333299	325.8674568	391.9451527	325.7257948
MCM4	820.4401459	759.3276722	800.5047034	3506.157691	2240.117296	2444.066654
NFASC	3401.959476	3388.026549	3345.104195	2254.650512	2338.606078	2316.022721
RFC3	51.82888019	63.46286996	52.85135723	479.9939567	301.4962713	311.1242937
SLFN11	184.157936	184.8216915	155.9759567	609.4602166	462.2942827	481.8495379
PPP1R15A	2920.061165	2605.31782	2824.324968	1877.70113	1922.541223	1662.324746
CENPA	4.410968526	2.226767367	2.578114987	280.0698683	196.9775639	152.7541659
TUBB	17043.98239	17702.80057	17176.6911	29299.88798	26308.56464	25745.8161
ACAT2	117.9934081	160.3272504	159.8431292	523.1493767	343.7057493	452.6465356
BCL2L1	1991.55229	1878.278274	1817.571066	1117.637305	1234.124737	1204.062249
HSPA4L	247.0142375	238.2641083	208.8273139	79.26505707	111.5536204	59.52919699
STOM	2777.80743	2948.239994	2869.44198	2055.607147	1905.456435	1794.861449
C18orf54	97.04130758	94.6376131	77.3434496	326.7481797	251.2468928	325.7257948
SCARA3	1192.064244	1253.670028	1129.214364	2975.962532	2243.132259	2672.07471
EXO1	6.61645279	8.907069469	7.73434496	297.6843254	196.9775639	167.355667
LMNB2	1861.428718	1704.59042	1921.984723	6251.370834	4366.670996	4948.785697
UBR4	7741.249764	7528.700468	7388.877552	4416.825124	4801.830615	4939.800158
BRCA2	24.2603269	30.06135946	25.78114987	195.5204741	135.6733221	153.8773583
COL12A1	19492.06992	18941.99661	17946.25842	11897.68507	13131.1676	12815.62524
RFC5	105.8632446	109.111601	90.23402453	336.4361311	243.2069922	320.1098329
H2AFZ	1357.475564	1255.896795	1292.924666	5672.735918	3813.927832	4562.407513
EZH2	67.26727003	72.36993943	47.69512725	543.4060024	311.546147	404.3492626
DPYSL3	835.8785358	820.5637748	750.2314611	2117.257747	1505.471381	1592.686818
CENPO	95.93856545	94.6376131	96.679312	421.8662482	305.5162216	326.8489872
MCM6	522.6997704	586.7532012	542.6932047	1397.707173	1090.411515	1178.228823
MCM3	361.6994192	358.5095461	360.9360981	1641.667404	1082.371614	1014.242734
FHL2	7827.26365	8027.496359	8016.648551	4749.738364	5219.905444	5248.678067
CENPE	55.13710658	62.34948628	79.92156459	606.818048	482.3940341	516.6685022
ASCC3	2234.155559	2427.17643	2226.202291	1631.979453	1595.920263	1571.346162
NSD2	984.7487235	965.3036537	991.2852124	3765.970934	2746.631032	2993.307735
TM9SF2	3404.16496	3313.429842	3377.330633	2510.940863	2569.753219	2413.740459
CENPW	39.69871674	33.40151051	23.20303488	340.8397454	230.1421538	171.8484366
HIST1H4H	133.4317979	146.9666462	238.4756363	49.32047995	59.29426669	49.42046542
ESCO2	4.410968526	5.566918418	2.578114987	259.8132426	148.7381605	129.1671255
CDC7	28.67129542	27.83459209	21.91397739	187.5939684	120.5985085	153.8773583
ATAD5	9.924679185	11.13383684	15.46868992	121.5397542	88.43890625	115.6888168
DYNC1H1	18336.39616	18064.65027	17621.41593	11630.82604	12637.71871	12732.509
ERCC6L	5.513710658	1.113383684	0	206.9698712	136.6783097	211.1601705
BHLHE40	975.9267865	959.7367352	991.2852124	464.1409453	567.8179777	498.6974238
HMGB2	462.0489532	488.7754371	489.8418475	2036.231244	1577.830487	1437.686267
NEIL3	4.410968526	10.02045315	11.60151744	139.1542113	114.5685831	114.5656244
PSMC3IP	30.87677969	28.94797577	34.80455232	186.7132455	123.6134712	188.6963225
AC099850.3	9.924679185	10.02045315	10.31245995	113.6132485	90.4488814	78.62346772
ZMAT3	4178.289937	4235.311532	4081.156024	2154.248107	2568.748232	2596.82082
CTGF	27778.0743	28863.35861	29123.67595	18600.86673	20641.43972	19212.20593
NFAT5	1655.21594	1572.097761	1624.212442	1002.26261	1057.246925	1023.228273
SGK1	1409.304444	1378.369	1487.572347	1035.730079	1001.972608	946.8511898
LATS2	2098.518276	2045.285827	2232.647578	1439.101147	1548.685847	1384.896224
TGOLN2	7501.954721	7637.812069	7531.962933	5362.721472	5977.666073	5307.084071
GPSM2	63.95904363	75.71009048	56.71852971	351.4084197	271.3466442	243.7327499
RMI2	51.82888019	32.28812682	30.93737984	285.3542054	206.0224521	144.8918191
WDHD1	127.9180873	132.4926583	127.6166918	472.067451	356.7705877	347.0664504
MCM2	129.0208294	152.5335647	104.413657	805.8614135	579.8778285	559.3498132
SGO1	3.308226395	3.340151051	6.445287467	118.0168627	92.45885654	96.59454606
CKS1B	176.4387411	199.2956794	185.624279	987.2903219	697.4613743	662.6835137
NRM	162.1030933	130.265891	117.3042319	486.1590167	363.8055007	351.55922
BLM	2.205484263	4.453534734	6.445287467	142.6771027	85.42394354	107.82647
RFWD3	387.0624882	403.0448935	376.404788	1046.298753	751.7307032	861.4885677
CHEK1	132.3290558	148.0800299	162.4212442	581.2770852	404.0050036	402.1028778
COTL1	7141.358044	6836.175817	7236.768768	9492.430945	9018.758463	8801.335615
EME1	6.61645279	5.566918418	5.156229973	111.8518028	71.35411755	85.3626221
DIAPH3	162.1030933	232.6971899	232.0303488	901.8602049	715.5511506	752.5389053
GAS2L3	30.87677969	33.40151051	25.78114987	334.6746854	223.1072408	225.7616716
SRM	2817.506146	2442.763802	2627.099171	3725.457682	3672.224585	3618.9259
TUFT1	251.425206	251.6247125	242.3428087	109.2096342	120.5985085	106.7032776
SRSF3	2194.456842	2349.239572	2337.061235	4274.148022	3636.045032	3313.417568
CDC25C	4.410968526	2.226767367	1.289057493	118.8975856	79.39401811	92.10177647
XPC	996.878887	1077.755406	1036.402225	567.1855195	630.1272071	688.5169388
SPC25	5.513710658	0	0	206.9698712	148.7381605	176.3412062
URB1	1693.811914	1732.425012	1717.024581	1314.919224	1270.30429	1217.540557
SESN2	2510.943834	2443.877185	2558.779124	1088.57345	1424.067388	1263.591446
HASPIN	6.61645279	14.47398789	16.75774741	117.1361399	79.39401811	96.59454606
POLE	370.5213562	390.7976729	354.4908107	1022.519236	830.1197337	869.3509145
RMI1	124.6098609	129.1525073	99.25742699	349.646974	262.301756	349.3128352
CDC25B	1056.426962	1084.435708	1100.855099	2389.401109	1946.660925	2054.318892
SESN1	531.5217074	546.6713886	533.6698022	283.5927597	344.7107369	307.7547165
KIF18A	133.4317979	148.0800299	134.0619793	456.2144396	384.9102397	399.856493
CRIM1	19102.80195	19087.84987	19025.19954	15356.28372	15992.36722	16266.07228
C9orf40	135.6372822	158.1004831	155.9759567	395.4445625	316.5710849	323.4794101
HAT1	683.7001216	701.4317207	688.3567014	1227.727662	1096.44144	1347.830875
FIGNL1	72.78098069	75.71009048	64.45287467	215.7770998	215.0673402	222.3920944
KNSTRN	170.9250304	191.5019936	162.4212442	494.0855224	410.034929	473.9871911
LYNX1	324.2061867	268.3254677	319.6862583	90.7144542	123.6134712	89.85539168
HMGB3	209.521005	230.4704225	203.6710839	848.1361106	586.9127415	772.7563685
SUPT6H	3965.460705	4256.465822	4260.335015	2904.62398	3100.386657	2948.38004
PCYOX1	3202.36315	3373.552561	3221.354676	2185.954129	2446.139748	2366.566378
FANCI	129.0208294	132.4926583	79.92156459	622.6710594	507.5187234	462.7552672
TMEM158	264.6581116	244.9444104	242.3428087	567.1855195	464.3042578	508.8061554
EMP2	564.6039714	476.5282166	506.5995949	1059.509596	870.3192365	986.1629237
SUSD6	784.0496556	713.6789412	796.6375309	445.6457653	527.6184748	468.3712291
GDNF	756.4811023	799.4094848	754.0986336	336.4361311	393.9551279	507.682963
CENPH	18.74661624	24.49444104	43.82795477	280.0698683	229.1371662	188.6963225
AHNAK	51201.41991	51429.41911	47853.68132	34955.00944	37340.3132	37543.82903
NCAPH2	434.4803999	368.5299993	462.7716401	1029.565019	826.0997834	964.8222682
TRIM22	2141.52522	2218.973681	2174.639991	1015.473453	1310.503793	1282.685716
ACOT7	780.7414292	790.5024153	875.270038	1210.993927	1196.940197	1129.93155
APOBEC3B	7.719194921	7.793685785	18.04680491	155.0072227	89.44389382	88.73219929
LSM4	1788.647737	1678.982595	1857.531848	2665.067363	2483.324288	2562.001855
OSBPL3	2036.764717	2277.983017	2159.171301	1465.522833	1505.471381	1564.607008
IDH2	517.1860597	448.6936245	513.0448823	1015.473453	853.2344478	848.010259
WDR34	629.6657572	543.3312376	611.0132518	1337.818019	1068.301788	1098.482163
DCLRE1B	112.4796974	101.3179152	73.47627712	327.6289026	250.2419052	272.9357522
ATRN	1692.709172	1761.372987	1691.243431	1194.260193	1173.825483	1295.040833
PLK3	1198.680697	1075.528638	1117.612847	596.2493737	751.7307032	669.422668
SH2D4A	2439.265595	2567.462774	2503.349652	1815.169807	1896.411547	1863.376185
HIST1H2AC	1776.517574	1739.105314	1744.094788	553.0939538	775.8504049	769.3867913
SOX11	15.43838984	8.907069469	15.46868992	277.4276997	115.5735707	104.4568928
TIMELESS	205.1100365	241.6042593	181.7571066	789.1276793	567.8179777	645.8356277
TAGLN2	7214.139025	6968.668476	7373.408862	10419.83211	9524.267211	9443.801666
MARCKSL1	276.788275	236.0373409	271.9911311	1068.316825	642.1870579	834.5319502
AMIGO2	1334.317979	1338.287188	1277.455976	673.7529851	779.8703551	754.7852901
UBR7	336.3363501	366.3032319	359.6470406	723.073465	651.2319461	670.5458604
NASP	388.1652303	428.6527182	384.139133	1408.275847	895.4439258	1090.619817
RAD54L	3.308226395	2.226767367	7.73434496	163.8144513	114.5685831	105.5800852
ECE1	5504.888721	5286.34573	5366.346345	3573.092628	3811.917857	3653.744864
SECISBP2L	1497.523815	1603.272504	1500.462922	1059.509596	1131.616005	1051.308083
SNRPB	1602.284317	1467.439695	1572.650142	2884.367354	2459.204586	2487.871157
NEMP1	204.0072944	233.8105736	201.092969	614.7445537	434.1546307	485.2191151
ATF3	206.2127786	203.7492141	220.4288314	73.98071993	95.47381925	69.63792855
STMN2	27.56855329	42.30857998	37.38266731	719.5505736	241.1970171	238.116788
CBX3	1551.558179	1487.480601	1407.650783	2831.523983	2262.227022	2292.43568
UBR3	1283.591841	1241.422807	1247.807654	884.2457477	893.4339507	748.0461357
TOPBP1	392.5761989	414.1787303	378.982903	915.0710477	784.895293	746.9229434
BRCA1	92.63033906	90.18407837	70.89816213	548.6903395	321.5960227	361.6679515
POLA1	82.70565987	131.3792747	101.835542	335.5554083	272.3516318	290.9068306
ECT2	419.04201	494.3423555	384.139133	1309.634887	1037.147173	1127.685166
KIAA1109	1900.024693	2046.39921	1778.899341	1191.618025	1362.763146	1259.098676
MMS22L	148.8701878	120.2454378	155.9759567	385.7566111	313.5561222	333.5881416
TUBA1B	6003.328165	5510.13585	6004.429804	13667.93801	10527.24481	11548.66422
ZKSCAN1	1839.373876	1780.30051	1813.703893	1247.984287	1305.478855	1311.888719
H2AFV	1015.625503	1015.405919	1026.089765	2385.878218	1822.042466	1884.716841
C21orf58	43.00694313	48.98888208	33.51549483	196.401197	149.7431481	153.8773583
AC112777.1	34.18500608	16.70075525	18.04680491	179.6674627	113.5635955	89.85539168
TNFAIP8L1	56.23984871	52.32903313	51.56229973	186.7132455	132.6583594	207.7905933
SYNE1	2063.230528	2171.098183	2009.640632	1008.42767	1281.359153	1240.004405
TANC2	1898.921951	1872.711356	1887.18017	1341.34091	1413.012525	1362.432376
PLXNB2	17798.258	16377.87399	17046.49629	9994.442974	11411.63387	10737.71931
AC091057.1	8.821937053	17.81413894	11.60151744	147.9614399	120.5985085	65.14515897
