Gene	Eto_1	Eto_2	Eto_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
KIF11	52.93162232	54.5558005	39.96078229	480.3105488	488.4460434	1079.678925
GTSE1	23.15758476	22.26767367	29.64832235	413.6595255	400.1847461	893.8963351
HEG1	4763.846009	4825.404885	4594.200906	2899.848489	2875.51295	2781.875428
CDKN2C	41.904201	47.87549839	37.38266731	351.2403132	424.256009	704.2230105
BUB1	6.61645279	15.58737157	15.46868992	384.0368485	391.1580225	893.8963351
KNL1	23.15758476	11.13383684	7.73434496	338.5448802	349.0333124	742.1576754
CDC6	20.9521005	18.92752262	25.78114987	300.4585812	310.9204794	576.8014437
CENPF	134.5345401	152.5335647	166.2884166	869.637161	1032.055398	1981.35673
PKMYT1	17.64387411	30.06135946	27.07020736	321.6176362	312.926418	644.8893038
UBE2C	11.02742132	2.226767367	7.73434496	412.6015727	483.431197	798.5733309
PRR11	59.54807511	57.89595155	56.71852971	514.1650368	540.6004464	1030.072055
HSPA5	13793.09858	14926.02166	14629.51349	24167.87263	24149.49453	22487.47483
NEAT1	9280.67778	10062.76173	9785.235432	5528.861075	5018.858319	4432.519694
DEPDC1	9.924679185	11.13383684	16.75774741	240.1552744	315.9353258	615.7087923
CITED2	30865.75226	30043.54532	31969.91489	18015.87739	17987.25122	14774.09296
FST	4760.537782	4712.953133	4732.130058	2071.471486	2180.455233	1677.87941
TARS	4447.359017	4564.873103	4421.467202	3014.107386	3035.988036	3122.314729
NCAPG	27.56855329	24.49444104	18.04680491	325.8494472	329.9768959	707.1410616
TTK	16.54113197	7.793685785	12.89057493	240.1552744	240.7126292	495.0960115
HSPA8	16955.76302	18369.7174	17313.33119	25624.67357	26008.99959	27449.13447
TGFBR3	631.8712414	607.9074912	565.8962396	243.3291326	264.7838921	270.4060731
UBR4	7741.249764	7528.700468	7388.877552	4105.914625	4156.304731	4092.080394
ASF1B	23.15758476	16.70075525	14.17963243	263.4302349	278.8254622	571.9380251
KIF4A	20.9521005	8.907069469	11.60151744	267.6620459	305.905633	604.0365877
WDR62	27.56855329	26.72120841	29.64832235	275.0677152	303.8996944	483.4238069
FBXO5	35.28774821	30.06135946	32.22643733	216.8803139	225.6680899	397.8276399
TGIF1	857.9333784	838.3779137	795.3484734	425.2970057	397.1758382	474.6696535
RND3	15695.32876	16441.33686	15738.10294	8253.089407	7846.228743	6607.440484
MOCOS	875.5772525	752.6473701	828.8639682	354.4141714	306.9086022	225.6626221
CDT1	47.41791166	32.28812682	28.35926485	274.0097624	326.967988	502.8774812
KIF18B	4.410968526	6.680302101	2.578114987	276.1256679	272.8076464	550.5389833
EGR1	1989.346805	2045.285827	2105.030887	1125.661727	1047.099937	867.6338748
SLC38A1	3117.452006	3137.51522	2999.636787	1491.713378	1436.252021	1569.911518
AURKB	13.23290558	10.02045315	20.62491989	283.5313372	303.8996944	553.4570345
PLPP3	3352.33608	3411.407606	3278.073206	1659.927866	1714.074514	1391.910398
TRIB3	1734.613373	1614.406341	1584.251659	423.1811002	416.2322547	341.4119844
KIF23	135.6372822	144.7398789	175.3118191	832.6088147	805.3843386	1456.107523
ATF3	206.2127786	203.7492141	220.4288314	55.01354303	47.13955655	37.93466493
PIMREG	16.54113197	14.47398789	12.89057493	300.4585812	277.8224929	568.0472902
RAD51AP1	20.9521005	13.3606042	5.156229973	131.1861411	158.4691476	260.6792359
SLC1A5	8235.278239	7684.574184	8195.827543	4664.513677	4280.672923	4541.460271
ARHGEF28	378.2405511	377.4370687	319.6862583	130.1281883	150.4453933	147.8479249
CKAP2L	14.33564771	17.81413894	19.3358624	216.8803139	256.7601378	498.0140627
HMMR	6.61645279	5.566918418	9.023402453	221.1121249	224.6651206	529.1399416
RNF41	1498.626557	1581.004831	1594.564119	930.9984205	921.728776	787.8738101
CDCA2	62.8563015	66.80302101	43.82795477	375.5732265	417.235224	700.3322756
SRSF7	679.2891531	720.3592433	692.2238739	1518.162197	1479.3797	1814.055131
CDCA3	22.05484263	38.96842893	29.64832235	288.8211009	246.7304449	531.085309
TRIP13	63.95904363	55.66918418	78.63250709	367.1096045	400.1847461	722.7040011
CENPM	13.23290558	10.02045315	14.17963243	179.8519676	148.4394547	249.0070313
NDC80	7.719194921	7.793685785	1.289057493	171.3883456	174.5166562	379.3466493
ARL4C	355.0829664	344.0355582	304.2175684	140.7077158	130.3860075	148.8206086
UHRF1	186.3634202	215.9964346	176.6008766	1044.199365	1007.984135	1885.061042
NEURL1B	12.13016345	13.3606042	9.023402453	141.7656686	124.3681918	254.8431336
SLC1A4	1517.373173	1420.67758	1327.729218	681.3215714	619.8350202	528.1672579
TCF19	129.0208294	136.9461931	131.4838643	674.9738549	714.1141333	1186.674134
CLSPN	9.924679185	15.58737157	9.023402453	208.4166919	202.5997963	424.0901002
GMNN	66.1645279	76.82347417	56.71852971	282.4733844	290.8610936	496.0686952
WDR76	17.64387411	25.60782472	29.64832235	228.5177941	217.6443356	377.4012819
FANCD2	20.9521005	26.72120841	15.46868992	155.5190543	155.4602397	319.0402589
MCM10	4.410968526	7.793685785	3.86717248	133.3020466	168.4988404	318.0675752
FAM107B	546.9600973	613.4744097	599.4117344	294.1108647	288.8551551	269.4333894
SYNE3	1112.666811	1038.786977	975.8165224	491.948029	433.2827326	409.4998445
TROAP	12.13016345	3.340151051	5.156229973	177.7360621	167.4958712	326.8217286
ADM	4532.270161	4382.278179	4630.294516	3025.744867	2863.477318	2764.367121
ARHGEF2	3844.159071	3555.034102	3722.798041	1942.40125	1893.606016	1789.738038
DIRAS3	7.719194921	6.680302101	12.89057493	190.4314951	209.6205813	382.2647004
TUFT1	251.425206	251.6247125	242.3428087	97.33165305	90.26723596	77.81469729
COL3A1	11028.52406	11739.51756	11227.69077	16996.01094	17373.43401	17886.68086
DLC1	6142.273673	6224.928175	6053.413989	4355.591474	4205.450226	3900.461702
FSCN1	7367.420181	6951.96772	7727.899672	12459.50954	11630.43187	12879.30509
MKNK2	3457.096583	3043.990991	3159.479916	1559.422354	1469.350007	1271.297617
NEK2	4.410968526	6.680302101	2.578114987	159.7508653	176.5225948	333.6305146
KIF15	12.13016345	6.680302101	3.86717248	131.1861411	121.3592839	208.1543153
UGCG	2179.018452	2250.148425	2129.522979	1124.603774	1184.50673	933.7763675
TUBA1C	3838.64536	3834.493406	4155.921358	6671.450045	6662.724983	7640.43059
OSMR	1816.216291	1802.568184	1749.251018	1011.40283	1026.037582	928.9129489
FOXM1	185.2606781	188.1618425	235.8975213	1002.939208	961.8475476	1738.185801
TEF	644.0014049	625.7216302	638.0834592	330.0812582	328.9739266	371.5651796
PLIN2	2564.978198	2648.739783	2471.123215	1682.144873	1686.994343	1840.317591
SLC7A5	23604.19533	21194.3718	22735.10701	8151.525943	7548.346864	5552.078652
TK1	273.4800486	288.366374	333.8658908	1196.544561	1194.536422	2096.133408
POLQ	14.33564771	5.566918418	7.73434496	140.7077158	164.4869633	295.6958497
HSPH1	1589.051412	1670.075525	1647.415476	2516.869594	2524.473699	2809.110572
BRIP1	18.74661624	20.0409063	14.17963243	209.4746446	220.6532434	469.8062349
SPHK1	2265.032338	2016.337851	2264.874016	3890.092264	3794.232818	3800.275279
NR2F2	1721.380467	1748.012383	1840.7741	2813.096364	2626.776566	2859.690125
CTHRC1	3580.603701	3464.850023	3720.219926	5199.837769	5202.401699	4697.089665
DNAJB4	2160.271836	2336.992352	2192.686796	3421.419195	3474.285615	3370.349076
TM4SF1	545.8573552	573.392597	581.3649295	303.6324394	309.9175101	299.5865846
BAALC	790.6661084	840.6046811	791.4813009	1330.90456	1438.25796	1391.910398
AURKA	175.3359989	195.9555283	184.3352215	610.4387371	623.8468974	945.4485721
NDRG1	2363.176388	2382.641083	2324.17066	1270.601253	1324.92243	1243.089789
CENPU	22.05484263	25.60782472	20.62491989	169.2724401	202.5997963	390.0461702
CNN3	4173.878968	4219.724161	4162.366646	5767.958396	5762.058562	6054.956133
ZWINT	57.34259084	41.19519629	64.45287467	360.7618879	347.0273738	770.3655032
SKA1	11.02742132	11.13383684	11.60151744	132.2440938	162.4810247	303.4773194
CNN2	5373.662407	5075.916213	5491.384922	8330.319958	8377.802466	9175.325494
NNMT	2990.636661	2978.301354	2892.645015	1714.941409	1603.747892	1412.336756
GDNF	756.4811023	799.4094848	754.0986336	358.6459824	383.1342682	326.8217286
TGFBI	57112.11774	57349.28016	57678.87754	77481.28559	77480.3805	82414.51858
KLF4	935.1253276	890.7069469	907.4964753	366.0516517	319.947203	266.5153382
FABP5	55.13710658	73.48332312	77.3434496	266.6040931	270.8017079	420.1993654
KIF20B	57.34259084	62.34948628	60.58570219	296.2267702	296.8789094	512.6043184
GBP1	232.6785898	260.531782	238.4756363	485.6003125	533.5796614	570.9653414
KIF14	23.15758476	15.58737157	19.3358624	212.6485029	238.7066906	434.7896211
SLFN11	184.157936	184.8216915	155.9759567	454.9196827	485.4371356	716.8678988
ETV5	1284.694583	1282.618003	1215.581216	746.9146419	734.1735191	640.9985689
TMPO	228.2676212	267.2120841	198.514854	891.8541687	897.6575131	1807.246345
GDF15	3309.329137	3268.894495	3577.134544	1063.242514	867.5684345	543.7301973
BCL2L1	1991.55229	1878.278274	1817.571066	1232.514954	1160.435467	1041.74426
SKA3	9.924679185	14.47398789	20.62491989	180.9099203	211.6265199	419.2266817
MCM8	88.21937053	85.73054364	76.05439211	245.4450381	287.8521858	450.3525606
AMOTL2	6328.637093	6246.082465	6308.647372	4692.020449	4455.189579	4443.219215
LATS2	2098.518276	2045.285827	2232.647578	1403.9033	1457.314376	1310.204966
ARHGAP11A	176.4387411	141.3997278	152.1087842	664.3943274	625.852836	1098.159916
TSPAN13	1000.187113	1172.393019	1113.745674	1938.169439	1915.671341	2110.723664
STIL	72.78098069	80.16362522	59.29664469	229.5757469	242.7185678	393.936905
TNFRSF10B	4525.653708	4495.843314	4525.880859	2658.635262	2663.88643	2183.674943
RAB7B	116.890666	116.9052868	113.4370594	274.0097624	276.8195236	286.9416963
CEBPB	3679.850493	3264.44096	3512.681669	1897.967235	1785.285333	1609.79155
NUF2	3.308226395	7.793685785	3.86717248	175.6201566	184.5463491	372.5378633
PIK3IP1	512.7750912	474.3014492	500.1543074	261.3143294	227.6740285	205.2362641
HELLS	39.69871674	38.96842893	56.71852971	186.1996841	197.5849498	344.3300355
MANF	642.8986627	671.3703612	692.2238739	1346.773851	1453.302499	1518.359281
GTPBP2	1412.612671	1412.883894	1478.548945	977.5483415	850.5179566	874.4426608
YPEL3	824.8511145	742.6269169	846.9107731	434.8185805	416.2322547	315.149524
TNC	4865.298285	4817.611199	4594.200906	8279.538226	8604.473525	10956.30938
PCK2	2859.410347	2511.79359	2687.684874	1026.214168	1007.984135	853.0436191
POLD1	223.8566527	187.0484588	211.4054289	519.4548005	517.5321528	736.3215731
WARS	4291.872376	4562.646335	4359.592442	2783.473687	2669.904246	2479.370792
CENPI	35.28774821	35.62827787	38.6717248	160.8088181	177.525564	300.5592683
SRSF3	2194.456842	2349.239572	2337.061235	3740.920926	3695.941828	4523.951964
ZNF367	1.102742132	13.3606042	24.49209237	154.4611016	177.525564	276.2421754
DPYSL3	835.8785358	820.5637748	750.2314611	1605.972275	1651.890418	2230.363761
ORC6	23.15758476	35.62827787	30.93737984	224.2859831	214.6354277	431.87157
RACGAP1	258.0416588	264.9853167	219.1397739	835.782673	913.7050217	1532.949537
MXRA5	1316.674105	1419.564197	1317.416758	2139.180462	2185.470079	2415.173667
TNFRSF11B	1866.942429	1810.36187	1869.133365	860.1155862	888.6307895	665.3156618
PSRC1	82.70565987	69.02978838	65.74193216	258.1404711	240.7126292	424.0901002
MCM5	341.8500608	345.1489419	357.0689256	1244.152435	1169.46219	2057.22606
CHTF18	113.5824396	95.75099679	105.7027145	344.8925967	318.9442337	545.6755648
DTL	16.54113197	31.17474314	14.17963243	207.3587391	197.5849498	470.7789186
ZBTB38	4047.063623	4235.311532	3849.125675	2521.101405	2457.274757	2188.538361
DDIAS	16.54113197	12.24722052	7.73434496	107.9111806	111.329591	180.9191712
STARD4	218.3429421	239.377492	223.0069463	502.5275565	542.606385	481.4784395
SH3BP4	5287.648521	5295.252799	5438.533564	3725.051635	3587.621145	3336.305146
CENPK	28.67129542	45.64873103	46.40606976	147.0554323	189.5611955	292.7777986
SMC4	474.1791166	534.4241681	479.5293875	1357.353379	1423.21342	2393.774625
SARS	6296.657572	6283.93751	6436.264064	4322.794939	4349.877804	3977.303715
SCX	73.88372282	76.82347417	61.87475968	271.8938569	278.8254622	181.8918549
ADM2	1468.852519	1316.019514	1381.869633	425.2970057	378.1194217	255.8158173
CHAF1B	46.31516953	57.89595155	47.69512725	194.6633061	195.5790112	322.9309938
ELN	950.5637175	828.3574606	1000.308615	2797.227073	2771.204144	3634.919047
LDB2	427.8639471	368.5299993	415.0765128	713.0601539	759.2477513	758.6932986
YARS	4395.530137	4541.492045	4471.740444	3169.626441	3090.148378	3168.030863
NREP	838.08402	897.387249	822.4186807	1633.479047	1678.970589	1333.549375
SPC24	12.13016345	11.13383684	14.17963243	151.2872433	144.4275775	341.4119844
DENND3	588.8642983	601.2271891	621.3257118	311.0381087	326.967988	344.3300355
MEX3B	204.0072944	197.068912	210.1163714	608.3228316	555.6449858	747.021094
ERBIN	4013.981359	4068.30398	3832.367928	2670.272742	2676.925031	2790.629582
CCNF	74.98646495	66.80302101	55.42947221	318.4437779	303.8996944	568.0472902
CDCA7	20.9521005	11.13383684	24.49209237	130.1281883	174.5166562	304.4500032
MAD2L1	83.808402	64.57625365	67.03098965	307.8642504	383.1342682	677.9605501
PCMTD1	997.9816291	996.4783968	872.691923	551.1933831	522.5469993	527.1945741
EIF2S2	4489.263218	4660.624099	4283.53805	3168.568488	3137.287934	2941.395558
PHGDH	4119.844604	3756.556548	3681.548201	2428.001563	2264.704653	2579.557215
CDC45	9.924679185	8.907069469	16.75774741	157.6349598	159.4721169	342.3846681
KPNA2	853.5224099	861.7589711	852.0670031	2167.745186	2222.579943	3557.10435
ESPL1	59.54807511	43.42196366	64.45287467	286.7051954	286.8492165	502.8774812
ESCO2	4.410968526	5.566918418	2.578114987	135.4179521	149.442424	366.701761
RBL1	59.54807511	47.87549839	54.14041472	187.2576369	182.5404105	361.8383424
MELK	119.0961502	141.3997278	152.1087842	549.0774775	540.6004464	1032.990107
WBP2	1466.647035	1376.142233	1363.822828	891.8541687	856.5357723	760.638666
RECQL4	153.2811563	131.3792747	114.7261169	539.5559028	459.3599341	826.7811587
CYR61	17826.9293	17659.37861	17742.58734	14267.55079	13708.58423	13972.60158
PLK4	12.13016345	10.02045315	27.07020736	161.8667708	160.4750861	344.3300355
EZH1	903.1458058	946.376131	913.9417628	559.6570051	552.6360779	451.3252443
TUBB4B	4664.599217	4740.787725	4714.083253	7832.024213	7956.555365	9583.852655
APOL6	722.2960962	796.0693338	670.3098965	355.4721242	356.0540974	309.3134217
SHMT2	4031.625233	3828.926488	3979.320482	2906.196206	2572.616225	2799.383735
SAPCD2	2.205484263	4.453534734	1.289057493	113.2009443	111.329591	189.6733246
STMN2	27.56855329	42.30857998	37.38266731	439.0503915	396.1728689	851.0982516
ENAH	4721.941808	4709.612982	4721.817598	6493.713983	6541.365699	6229.066518
CCNB2	50.72613805	51.21564944	48.98418475	271.8938569	301.8937558	598.2004854
MACF1	8503.244577	8354.831162	7939.305101	5769.016349	5825.245627	5494.690312
NPC1	1549.352695	1583.231598	1482.416117	1041.025507	904.6782981	1081.624292
XRCC2	6.61645279	7.793685785	10.31245995	98.3896058	95.2820824	146.8752411
CDKN3	22.05484263	18.92752262	21.91397739	210.5325974	176.5225948	394.9095888
FANCG	79.39743348	85.73054364	86.36685205	215.8223611	234.6948135	351.1388215
SOX11	15.43838984	8.907069469	15.46868992	176.6781093	152.4513318	330.7124635
KIF22	170.9250304	152.5335647	197.2257965	530.034328	546.6182622	893.8963351
NCOA7	320.8979603	310.6340477	292.616051	126.9543301	150.4453933	150.765976
FAM129A	2557.259003	2544.081717	2491.748135	1070.648184	1108.281064	864.7158236
BARD1	24.2603269	28.94797577	32.22643733	116.3748026	144.4275775	244.1436128
CDC42BPA	2064.33327	2020.791386	2097.296542	1495.945189	1464.335161	1459.025574
DUSP1	4718.633581	4593.821078	4926.777739	3558.953053	3328.855068	3199.156742
NES	497.3367014	434.2196366	488.55279	1263.195584	1248.696764	1630.217908
NCAPG2	153.2811563	155.8737157	159.8431292	613.6125953	573.698433	1130.258478
CIT	112.4796974	101.3179152	123.7495194	461.2673993	449.3302412	779.1196566
UBE2T	28.67129542	42.30857998	38.6717248	211.5905501	193.5730727	392.9642213
MIS18A	76.08920708	47.87549839	63.16381717	194.6633061	213.6324584	367.6744447
SLC2A3	1027.755667	1106.703381	1099.566042	637.9455086	643.9062831	709.0864291
AC099850.3	9.924679185	10.02045315	10.31245995	74.05669254	84.24942022	136.1757203
MIR503HG	116.890666	132.4926583	122.4604619	272.9518096	271.8046772	392.9642213
BCL6	725.6043226	751.5339864	752.8095761	407.311809	422.2500704	429.9262025
PDIA4	2316.861219	2703.295584	2581.982159	4404.257301	4488.287566	5350.733122
HMGN2	2465.731406	2629.812261	2667.059954	4390.503915	4514.364767	5990.759008
FANCA	40.80145887	26.72120841	21.91397739	197.8371644	197.5849498	394.9095888
DOCK10	852.4196677	862.8723548	799.2156459	1236.746765	1375.070894	1545.594425
GINS1	31.97952182	18.92752262	18.04680491	181.9678731	187.5552569	351.1388215
KLHL24	507.2613805	584.5264339	509.1777099	212.6485029	245.7274757	169.2469666
DHRS3	818.2346617	729.2663127	716.7159663	314.2119669	365.080821	280.1329102
PTTG1	92.63033906	95.75099679	85.07779456	395.6743287	424.256009	782.0377078
RASD2	137.8427665	149.1934136	189.4914515	458.093541	395.1698996	541.7848299
LIG1	258.0416588	204.8625978	229.4522338	423.1811002	534.5826307	752.8571963
SCARA3	1192.064244	1253.670028	1129.214364	2392.031169	2288.775916	3029.909776
XPOT	4689.962286	4802.023827	4507.834054	3185.495732	3285.727389	3328.523677
FEN1	148.8701878	143.6264952	161.1321867	437.9924387	475.4074427	748.9664614
ANKRD11	5328.44998	5244.03715	5323.807447	3394.970377	3504.374694	3313.933421
SNAI1	121.3016345	104.6580663	106.9917719	256.0245656	335.9947116	385.1827516
NARS	5031.812347	5138.2657	4969.316637	3415.071479	3594.64193	3352.84077
CENPA	4.410968526	2.226767367	2.578114987	145.9974796	102.3028674	255.8158173
DHFR	122.4043766	94.6376131	99.25742699	393.5584232	368.0897288	685.7420199
FAXDC2	218.3429421	226.0168878	198.514854	94.1577948	87.25832809	61.27907412
ATAD2	328.6171552	358.5095461	310.6628559	997.6494438	922.7317453	1600.064713
IFRD1	1031.063893	1091.11601	1073.784892	706.7124374	706.090379	726.594736
PER1	368.315872	305.0671293	345.4674082	167.1565346	136.4038232	145.9025574
CKS2	62.8563015	80.16362522	110.8589444	381.920943	431.276794	778.1469729
E2F1	44.10968526	57.89595155	82.49967957	324.7914944	368.0897288	670.1790804
INCENP	237.0895583	256.0782472	248.7880962	515.2229895	579.7162487	809.2728518
SAMD11	1173.317628	1026.539756	1206.557814	3283.885338	3096.166193	4185.458031
MCM7	526.0079968	499.9092739	540.1150897	1531.915583	1647.878541	2868.444279
STMN3	693.6248008	661.349908	687.0676439	1120.371963	1100.257309	1254.761994
JMY	644.0014049	649.1026875	527.2245148	279.2995262	302.8967251	258.7338685
ACAT2	117.9934081	160.3272504	159.8431292	386.152754	360.0659745	501.9047975
SLC30A1	1799.675159	1748.012383	1775.032168	1225.109285	1311.883829	1185.70145
DBF4B	55.13710658	40.08181261	41.24983979	149.1713378	190.5641648	249.979715
UHRF1BP1	527.1107389	533.3107844	516.9120548	253.9086601	288.8551551	277.2148591
SDF2L1	313.1787654	262.7585493	359.6470406	762.7839332	752.2269663	803.4367495
RFC2	142.253735	171.4610873	143.0853818	367.1096045	352.0422202	502.8774812
CHN1	512.7750912	543.3312376	587.810217	1027.272121	1038.073213	996.0281253
SSX2IP	668.2617318	701.4317207	727.0284262	1227.225191	1323.919461	1781.956568
ATP6V1B2	2859.410347	2829.10794	2817.87968	2065.123769	2108.241444	2133.095389
CEBPG	984.7487235	993.1382458	952.6134876	550.1354303	519.5380914	512.6043184
BACH1	942.8445225	894.0470979	920.3870502	562.8308633	575.7043715	560.2658205
ZNF536	11.02742132	12.24722052	14.17963243	92.0418893	99.29395955	188.7006409
RASA1	1873.558882	1953.988365	1968.390792	2748.561246	2743.121004	2775.066642
FAM43A	992.4679185	830.584228	969.371235	311.0381087	358.060036	255.8158173
NFE2L2	1726.894178	1923.927005	1796.946146	1087.575428	1231.646286	1182.783399
IGF2R	5158.627692	5101.524038	4848.145232	3321.971637	3441.187628	3170.948915
H2AFX	586.658814	539.9910865	596.8336194	1630.305189	1534.543011	2585.393317
CIART	152.1784142	193.7287609	186.9133365	50.78173203	59.17518802	54.4702881
EXO1	6.61645279	8.907069469	7.73434496	108.9691333	135.4008539	307.3680543
NTF3	260.2471431	310.6340477	277.1473611	142.8236213	125.371161	119.6400971
ATAD3B	489.6175064	514.3832618	501.4433649	966.968814	882.6129738	1153.602887
IL20RB	393.678941	379.6638361	422.8108578	181.9678731	195.5790112	156.6020783
AHR	953.8719439	934.1289105	893.3168429	495.1218873	574.7014022	437.7076723
EPRS	5728.745374	6033.426181	5728.5715	3785.354942	3985.799952	3789.575758
STMN1	833.6730515	809.429938	706.4035063	2323.26424	2348.954073	4130.987742
RNF213	3921.35102	3665.259086	3771.782225	2451.276523	2569.607317	2273.161845
CBFB	1196.475213	1269.257399	1184.643836	1883.155896	1927.706972	2272.189161
MMP3	1182.139565	1166.8261	1167.886089	4465.61856	4602.626064	8523.627405
KLF9	403.6036202	361.8496972	357.0689256	168.2144873	145.4305468	169.2469666
LMNB2	1861.428718	1704.59042	1921.984723	4288.940451	4119.194867	6214.476262
PDE4D	136.7400243	150.3067973	116.0151744	47.60787378	41.12174082	45.71613466
TUBB	17043.98239	17702.80057	17176.6911	24791.0068	25294.88545	28447.10796
SAV1	945.0500068	940.8092126	966.79312	621.0182646	650.9270682	629.3263643
SLFN5	4511.31806	4576.00694	4314.47543	2717.880616	2786.248683	2440.463444
ARSI	220.5484263	173.6878546	180.4680491	410.4856672	403.1936539	494.1233278
MCM3	361.6994192	358.5095461	360.9360981	996.591491	955.8297318	1591.31056
ACTG1	97398.59603	98685.87618	101249.0208	140578.6456	140574.1695	150906.0425
