Gene	CTRL_1	CTRL_2	CTRL_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
CTSC	605.8640407	900.5001524	877.2697533	385.0948012	366.0837903	492.1779604
MCAM	1511.072074	1621.858253	1598.342697	2310.568807	2288.775916	2588.311369
CNN3	4457.355075	4741.037504	4538.266212	5767.958396	5762.058562	6054.956133
ATP2A2	6053.514654	5714.344052	5684.066097	6907.373509	7231.408569	7135.607742
SOX4	246.0361587	253.8644047	271.7396553	448.5719662	468.3866577	401.7183748
MDK	1153.294494	1072.936352	1147.939567	1619.725661	1564.63209	1494.042188
HSP90AB1	17679.7483	18394.15258	18120.96961	21406.61596	21779.4781	22256.94879
GOLIM4	2110.785211	2446.678074	2347.231511	3017.281245	3085.133531	3030.882459
ARHGAP29	3305.085731	3052.120729	2960.250497	2051.370383	2125.291922	1832.536121
HERC4	4536.291675	4850.247097	4700.882068	3636.183604	3559.538005	3620.328791
SCIN	27.67906785	37.36117653	27.81587023	86.75212555	104.308806	198.4274781
HSPH1	1879.101162	1904.462024	1880.780764	2516.869594	2524.473699	2809.110572
TEF	587.4113288	505.8128515	486.777729	330.0812582	328.9739266	371.5651796
FAM198B	237.8349534	214.5872703	195.7809328	499.3536983	465.3777498	391.9915376
NR1D2	1252.734108	1168.73424	1156.498297	707.7703901	735.1764884	963.9295627
AVPI1	373.1548406	365.9479343	358.3967895	220.0541721	206.6116734	232.4714082
LBH	4032.942701	4368.383718	4050.418642	3270.131952	3214.516569	3076.598594
CHAC1	911.3589377	600.6527612	757.4475431	501.4696038	414.2263161	352.1115052
DIO2	351.6266768	482.8213583	447.193606	233.8075579	215.638397	169.2469666
CDH10	25.62876653	23.94947214	24.60634674	98.3896058	96.28505169	52.52492067
KRT17	8.201205289	10.53776774	19.25714093	70.88283429	53.15737228	42.79808351
MMP16	905.2080338	790.3325805	767.0761136	1088.63338	1167.456252	1176.947297
PLXNC1	62.53419033	56.52075424	55.63174045	147.0554323	157.4661783	299.5865846
HSPA8	19499.39072	21549.73503	21244.90581	25624.67357	26008.99959	27449.13447
TRIB3	1208.652629	811.408116	790.6126191	423.1811002	416.2322547	341.4119844
SH2D4A	2005.194693	1967.688631	2032.698209	1636.652905	1550.59052	1461.943625
NEAT1	8149.947756	6953.010751	6913.313593	5528.861075	5018.858319	4432.519694
CRABP2	979.0188814	1156.280515	1150.07925	1514.988339	1756.199224	1890.897144
AXL	13118.85301	13441.40174	13349.47803	10709.65569	10650.53087	11643.02408
STC2	7508.203442	5370.429632	5559.964522	4057.248798	3818.304081	3212.774314
TGFBR3	510.5250292	376.485702	393.7015478	243.3291326	264.7838921	270.4060731
ATF4	7027.407782	6155.972318	6154.796208	5150.11399	4935.611868	5213.584718
SCUBE3	3570.599753	3244.674485	3185.986982	6550.843432	6145.19283	4244.791737
CYFIP2	38.95572512	42.15107096	54.56189929	130.1281883	126.3741303	98.24105533
TPM1	29416.69822	31373.8085	31470.44764	38626.91288	38813.90849	37604.92515
TAGLN	14906.71576	14380.22105	14404.34141	20638.54226	19877.84833	16742.80481
FHL1	3550.096739	3667.143174	3570.05996	2685.084081	2650.847829	2460.889802
SPOCD1	1898.579024	1863.268932	1947.110916	2484.073058	2536.50933	2406.419514
CREB3L2	2743.303169	2667.971196	2521.61562	3128.366283	3308.795682	3323.660258
VCL	8737.359085	8511.642397	8097.62776	10147.88278	10496.0736	10513.73829
RASA1	2187.671511	2069.234393	2065.863285	2748.561246	2743.121004	2775.066642
DBP	127.118682	82.38618415	97.35554579	50.78173203	22.06532434	23.34440919
TNS1	7099.168328	6268.055848	6148.377161	10270.6053	10099.90073	7843.721487
SLC1A4	1220.954437	896.6682368	935.0411761	681.3215714	619.8350202	528.1672579
PSAT1	5749.044908	4077.158137	4383.139243	3058.541402	3065.074145	2560.103541
OSR2	182.4768177	174.3521572	165.8253802	93.09984205	97.28802097	64.19712527
FDXR	334.1991155	326.6707999	359.4666306	687.6692879	589.7459416	515.5223696
LIMK2	597.6628354	615.0224445	611.949145	914.0711765	917.7168989	792.7372287
ACLY	6474.851576	6554.491534	6460.770781	7893.385472	7919.445501	7386.56014
CD109	3528.568576	3394.119191	3034.069537	4001.177303	4169.343332	4349.841579
UAP1	4892.018955	5127.102995	5168.402656	4184.203129	4004.856369	4204.911705
SOX12	1227.105341	1153.406578	1150.07925	808.2759014	809.3962157	844.2894656
COL6A3	61366.54372	58696.32429	54292.29932	71772.57255	72647.0715	75026.98576
SYNPO2	553.581357	467.4936961	464.3110646	311.0381087	297.8818787	269.4333894
NET1	1121.514823	1162.028388	1180.034802	1431.410072	1459.320315	1515.44123
ARHGEF2	3306.110882	2551.097772	2563.339426	1942.40125	1893.606016	1789.738038
FAM107B	482.8459614	379.3596387	447.193606	294.1108647	288.8551551	269.4333894
CMKLR1	56.38328636	38.31915542	54.56189929	115.3168498	188.5582262	92.40495303
PLPP3	2747.403772	2187.065796	2227.4093	1659.927866	1714.074514	1391.910398
PDIA3	6299.550813	6782.490509	6367.6946	8070.063581	7760.976354	8117.045611
APOL6	718.6306134	508.6867882	483.5682055	355.4721242	356.0540974	309.3134217
ARHGEF28	242.9607067	235.6628058	243.9237851	130.1281883	150.4453933	147.8479249
CHRDL1	93.28871016	134.117044	123.0317337	39.14425177	39.11580225	30.1531952
CEBPD	744.25938	587.2410568	736.0507199	407.311809	400.1847461	342.3846681
LINC01133	242.9607067	220.3351437	212.8983914	153.4031488	110.3266217	76.84201357
SESN2	1515.172677	1068.146457	1105.145921	829.4349565	762.2566592	624.4629458
SLC7A11	2448.059779	1473.371526	1521.314133	999.7653493	972.8802097	833.5899447
DENND3	561.7825623	455.0399706	448.2634471	311.0381087	326.967988	344.3300355
PHLPP1	1382.928242	1232.918826	1223.89829	899.259838	892.6426667	888.0602328
NTF3	245.011008	216.5032281	213.9682325	142.8236213	125.371161	119.6400971
CNN1	457.2171949	445.4601817	431.1459885	670.7420439	749.2180584	881.2514468
TNS3	1592.058977	1254.95234	1340.510977	2000.588651	1939.742604	1828.645386
CYR61	15983.12396	16734.93315	16280.84281	14267.55079	13708.58423	13972.60158
DTX3L	395.7081552	353.4942087	360.5364718	252.8507074	247.7334142	235.3894593
FBLN1	1830.919081	1513.606639	1603.691903	2033.385187	2234.615575	2332.495551
CPA4	119.9426273	128.3691707	102.7047516	62.41921228	57.16924944	35.01661378
ANGPTL2	1656.643468	1183.103924	1299.857013	958.505192	915.7109603	741.1849917
RBM24	333.1739649	341.0404832	350.9079013	514.1650368	475.4074427	487.3145418
GOPC	1113.313618	1133.289022	1224.968131	1558.364402	1554.602397	1424.00896
MASP1	496.17292	411.9309208	456.8221764	825.2031455	775.2952599	592.3643831
CDC42EP1	3203.595816	3006.137743	3021.231443	2496.768491	2201.517588	2290.670152
VOPP1	2237.903893	2243.58655	2128.983914	2706.243136	2663.88643	2625.27335
PTPRN	430.5632777	542.2160492	487.8475701	1057.952751	937.7762846	1649.671583
MGLL	3063.150175	3509.076658	3515.49806	2850.12471	2636.806259	2457.971751
EZR	4561.920442	5625.252016	5703.323238	4268.839349	4133.236437	3956.877357
DCSTAMP	7.176054628	10.53776774	4.27936465	45.49196827	42.12471011	34.04393006
FNBP1	1048.729126	958.9368644	1018.488787	694.0170044	718.1260105	807.3274844
P3H2	166.0744071	175.310136	159.4063332	276.1256679	255.7571685	247.0616639
PTPRU	197.8540776	162.8564105	167.9650625	334.3130692	317.9412644	329.7397798
IFI16	1685.347687	1332.54863	1353.349071	1066.416373	1040.079152	1100.105283
XPOT	4627.530084	3932.503325	3873.89485	3185.495732	3285.727389	3328.523677
PRR5L	260.3882679	243.3266369	249.2729909	379.8050375	394.1669303	391.0188539
TGFA	9.22635595	9.579788855	16.04761744	50.78173203	35.10392509	51.55223696
TOX	141.4707912	127.4111918	117.6825279	51.83968478	51.15143371	42.79808351
LRP4	198.8792283	180.1000305	172.2444272	288.8211009	323.9590802	462.9974489
CACNA1G	5.125753306	2.873936656	1.069841163	31.73858252	25.07423221	51.55223696
HSPB8	531.0280425	522.0984926	548.8285164	771.2475552	775.2952599	713.9498476
SLC1A5	6783.421925	5847.503117	5620.945468	4664.513677	4280.672923	4541.460271
MYC	1374.727037	1173.524135	1214.26972	972.2585778	943.7941004	1010.618381
TCF7	414.1608671	403.3091108	462.1713822	576.5842491	576.7073408	614.7361086
RALGPS2	1164.571151	1163.944346	1229.247496	788.1747992	822.4348165	969.765665
SDC1	1643.31651	2079.77216	1877.57124	2553.89794	2375.031275	2777.984693
ZFP36L2	2640.788103	2331.720607	2330.114052	1900.08314	1927.706972	1912.296186
CTSK	1097.936358	907.2060046	929.6919703	1282.238734	1400.145127	1257.680045
MGAT5	1586.933223	1424.514603	1361.9078	1951.922825	2075.143458	1772.229731
GPAM	425.4375244	440.6702873	407.6094829	655.9307054	604.7904809	609.87269
GPR1	557.6819596	451.2080551	454.6824941	321.6176362	311.9234487	278.1875428
CRISPLD2	180.4265164	192.553756	206.4793444	413.6595255	440.3035176	715.8952151
STMN2	71.76054628	133.1590651	116.6126867	439.0503915	396.1728689	851.0982516
CANX	10944.50846	11595.37643	11256.86871	12626.66608	13193.05802	13264.48784
DIRAS3	44.08147843	68.01650087	70.60951673	190.4314951	209.6205813	382.2647004
ELN	1233.256245	1745.437529	1456.053822	2797.227073	2771.204144	3634.919047
LYNX1	120.967778	86.21809969	96.28570463	266.6040931	215.638397	168.2742829
PARD6G	70.73539562	68.01650087	79.16824603	112.1429916	152.4513318	160.4928132
CTSL	2766.881634	2905.54996	3037.279061	2394.147075	2262.698715	2168.112003
PER1	291.1427878	238.5367425	241.7841027	167.1565346	136.4038232	145.9025574
VWCE	32.80482116	29.69734545	27.81587023	100.5055113	80.23754307	48.63418581
ENAH	5319.50678	5354.143991	5234.732808	6493.713983	6541.365699	6229.066518
NCOA7	264.4888706	231.8308903	206.4793444	126.9543301	150.4453933	150.765976
LIMS2	744.25938	752.971404	774.5650017	562.8308633	504.4935521	362.8110261
IPO7	4938.150735	4779.35666	4744.745556	5505.586114	5645.714124	5870.146227
OLFML3	1264.010765	1477.203441	1406.841129	1758.317471	1831.421921	2228.418394
GPER1	265.5140212	263.4441935	280.2983846	106.8532278	117.3474067	144.9298737
PLS3	5305.154671	5510.294549	5377.021683	6353.006267	6501.246927	6915.781222
PTER	317.7967049	287.3936656	276.0190199	186.1996841	193.5730727	193.5640595
EIF4EBP1	2603.882679	2501.28287	2653.206083	2003.76251	1835.433798	2150.603696
GFPT2	554.6065077	469.4096539	464.3110646	708.8283429	745.2061813	689.6327547
CTGF	18937.60816	17892.17164	17642.75061	24835.44082	24749.27016	20057.71091
KCNJ2	39.98087578	22.99149325	31.02539371	8.463622005	9.026723596	4.863418581
FAM43A	790.3911597	537.4261548	563.8062927	311.0381087	358.060036	255.8158173
SMAD7	1162.52085	1281.775749	1280.599872	1745.622038	1766.228917	1481.3973
SUGCT	70.73539562	69.93245864	65.26031092	144.9395268	144.4275775	119.6400971
SLCO2A1	25.62876653	20.1175566	27.81587023	86.75212555	85.25238951	94.35032047
SMAD3	1643.31651	1467.623653	1508.476039	1213.471805	1221.616593	1194.455603
OXTR	5812.604248	7672.452894	7402.231004	5391.327217	4874.430742	3878.089976
HSPA5	16509.02625	20163.53958	19616.60756	24167.87263	24149.49453	22487.47483
MAST4	205.0301322	172.4361994	167.9650625	285.6472427	288.8551551	272.3514405
WDR63	21.52816388	10.53776774	18.18729976	43.37606277	75.22269663	39.88003236
KLF5	305.494897	262.4862146	271.7396553	154.4611016	188.5582262	193.5640595
PDLIM5	3506.015261	3321.312796	3243.758405	4166.217932	4086.096881	3849.882148
PHLDA1	3818.686213	2887.348361	2959.180656	2310.568807	2325.88578	2432.681974
NES	681.7251896	727.1059741	753.1681785	1263.195584	1248.696764	1630.217908
DNAJA1	2259.432057	2449.55201	2361.139446	3040.556205	2882.533735	3215.692366
PLSCR4	323.9476089	284.519729	296.346002	192.5474006	191.5671341	191.6186921
NEDD4L	353.6769781	378.4016598	313.4634606	246.5029909	222.659182	246.0889802
PRLR	41.00602644	41.19309208	41.72380534	82.52031455	91.27020524	101.1591065
CPNE7	180.4265164	155.1925794	166.8952214	298.3426757	233.6918442	282.0782777
UGGT1	2136.413978	2063.486519	1948.180757	2420.595893	2515.446975	2503.687885
TMEM30A	4894.069256	5154.884383	4968.342359	5999.650049	5932.563341	5964.496547
OASL	2.050301322	4.789894427	3.209523488	28.56472427	35.10392509	19.45367432
NDRG1	2100.533705	1555.75771	1665.74269	1270.601253	1324.92243	1243.089789
URB1	1506.971472	1422.598645	1403.631605	1755.143613	1811.362535	1660.371103
TBX5-AS1	515.6507825	581.4931835	546.6888341	733.1612562	705.0874097	762.5840335
RUNX3	182.4768177	236.6207847	212.8983914	132.2440938	115.3414682	109.9132599
ARHGAP35	4185.690149	3435.312283	3680.253599	2954.862032	2939.702984	3104.806422
USP53	967.7422241	738.6017207	655.8126327	525.802517	561.6628015	427.9808351
STOM	1829.89393	1808.664136	1825.149023	2243.917784	2310.84124	2368.484849
DCHS1	688.9012443	643.761811	600.1808922	923.5927513	950.8148854	1089.405762
RAPGEF1	2112.835513	1855.605101	1857.244258	1613.377945	1552.596458	1486.260718
MKX	1509.021773	1291.355538	1316.974471	961.6790503	988.9277184	777.1742892
COL7A1	1151.244192	1172.566156	1115.844333	1837.663928	1829.415982	1382.183561
TXNRD1	11498.08982	9877.720288	9729.135532	8369.46421	8453.025163	9075.139072
SIPA1L2	168.1247084	122.6212973	128.3809395	85.6941728	76.22566592	71.97859499
IMPAD1	4314.859133	4420.114578	4296.482109	4871.872416	4978.739548	4967.495738
ANTXR1	5395.367929	4967.120521	5112.770916	5895.970679	6229.44225	6076.355175
GTPBP2	1239.407149	1069.104436	1178.964961	977.5483415	850.5179566	874.4426608
GUCY1A2	77.91145024	48.85692316	37.44444069	17.98519676	17.0504779	10.69952088
H1F0	2607.983282	2497.450954	2472.402927	2032.327234	1947.766358	1942.449381
NCS1	2367.072877	2581.753096	2500.218797	2901.964395	2917.63766	3062.008338
CLMP	6314.928072	5895.402061	5957.945434	7835.198071	7809.118879	6827.267004
ATP13A3	3385.047483	3215.935119	3252.317134	3933.468327	4032.939509	3753.586461
BCAT1	3575.725506	3631.697955	3573.269483	2959.093843	2894.569366	3169.003547
SLC6A17	105.5905181	120.7053396	97.35554579	206.3007864	202.5997963	207.1816315
PHLDB1	2966.786013	2788.676536	2761.260041	3746.21069	3688.921043	3151.49524
SAV1	868.30261	763.5091717	806.6602366	621.0182646	650.9270682	629.3263643
TBC1D15	542.3046997	565.2075424	586.2729571	423.1811002	414.2263161	422.1447328
MDM2	1580.782319	1300.935326	1278.460189	2004.820462	2059.095949	1724.568229
INSYN2B	179.4013657	207.8814181	188.2920446	286.7051954	293.8700015	355.0295564
ADM2	980.044032	614.0644656	665.4412031	425.2970057	378.1194217	255.8158173
EGFR	2432.682519	2165.99026	2117.215661	1852.475266	1818.38332	1762.502894
CARS	2283.010522	1958.108842	2023.069638	1715.999361	1604.750861	1496.960239
PLEKHG4B	17.42756124	28.73936656	16.04761744	75.11464529	86.2553588	126.4488831
SHOX	560.7574116	592.0309512	610.8793038	434.8185805	405.1995925	287.91438
CORO2B	204.0049816	178.1840727	191.5015681	358.6459824	312.926418	249.0070313
BMPR2	2509.568818	2298.191346	2434.958486	2991.890379	2962.771278	3006.565367
CXCL12	7740.912642	8628.515822	8273.08171	9357.592079	9491.098376	10509.84755
NMT2	1309.117394	1242.498614	1334.09193	1045.257318	1039.076183	1032.990107
FOSL2	4008.339085	3783.058619	3728.396452	3269.073999	3107.198855	3204.020161
JADE2	884.7050205	789.3746016	840.8951538	615.7285008	631.8706517	616.681476
PTN	168.1247084	204.0495026	189.3618858	301.5165339	252.7482607	412.4178956
CHST11	253.2122133	268.2340879	309.184096	430.5867695	452.3391491	350.1661378
VCAN	5410.745189	5178.833855	4697.672545	6634.421699	6742.962526	5983.950222
FOXC1	361.8781834	321.8809055	346.6285367	229.5757469	221.6562127	168.2742829
SLC7A5	15717.60994	10850.06886	11106.02111	8151.525943	7548.346864	5552.078652
PCK2	2060.552829	1481.035357	1422.888746	1026.214168	1007.984135	853.0436191
IRS2	1625.888949	1365.119912	1530.942704	1111.908341	1144.387958	1190.564869
DOCK11	575.1095209	563.2915847	498.5459818	411.54362	389.1520839	382.2647004
TSPAN11	60.48388901	58.43671201	53.49205813	121.6645663	122.3622532	82.67811587
BTBD11	3.075451983	13.4117044	2.139682325	31.73858252	38.11283296	47.66150209
CDKN1A	14453.59917	11980.48394	12035.71308	23701.31547	23131.4807	16027.88227
MLLT11	253.2122133	244.2846158	253.5523555	349.1244077	344.0184659	356.9749238
MEX3B	305.494897	376.485702	373.3745657	608.3228316	555.6449858	747.021094
FAM110B	257.3128159	252.9064258	274.9491788	179.8519676	164.4869633	191.6186921
PDE4D	99.43961413	78.55426861	84.51745184	47.60787378	41.12174082	45.71613466
KLF2	1169.696904	1293.271495	1543.780798	927.8245623	961.8475476	864.7158236
RBM12	941.0883069	963.7267588	905.0856235	1190.196844	1161.438436	1221.690747
CDH11	6126.300351	6180.879769	5953.66607	6904.19965	6834.232731	6875.901189
ASCC3	1695.599193	1562.463562	1618.669679	1943.459203	2085.173151	1951.203535
DACT3	387.5069499	428.2165618	396.9110713	624.1921228	536.5885693	583.6102297
MYLK	5621.926226	5165.422151	4957.643947	6329.731307	6357.822319	5976.168752
SOCS2	577.1598222	623.6442544	576.6443866	432.702675	464.3747805	416.3086305
PPARA	650.9706698	571.9133946	615.1586685	499.3536983	458.3569648	416.3086305
FAM129A	2177.420004	1408.228962	1464.612552	1070.648184	1108.281064	864.7158236
HIST1H4H	61.50903967	44.06702873	48.14285232	103.6793696	117.3474067	85.59616702
FRMD6	17314.79467	16664.04271	16106.4587	20422.7199	20428.47847	18088.02639
MLEC	3333.78995	3574.219222	3497.31076	4050.901082	4106.156267	3879.06266
TCEA1	3390.173236	2861.482931	2900.339392	2442.812901	2325.88578	2601.928941
PHGDH	3487.562549	2898.844107	2922.806056	2428.001563	2264.704653	2579.557215
COL16A1	2854.019441	2431.350411	2380.396587	3546.25762	3385.021348	3249.736296
PLXNB1	515.6507825	341.0404832	345.5586955	567.0626743	625.852836	577.7741274
ZFP36	913.409239	762.5511928	732.8411964	613.6125953	553.6390472	552.4843508
RND3	11757.45293	9753.183033	9771.929179	8253.089407	7846.228743	6607.440484
ADAM19	1819.642423	2164.074302	2045.536303	2820.502033	2547.541993	2818.837409
TGM2	6197.035746	6253.686164	5813.516877	11748.5653	11472.96569	7268.865411
CPT1C	214.2564882	227.0409959	237.5047381	149.1713378	142.421639	143.95719
GRB14	12.30180793	13.4117044	16.04761744	57.12944853	42.12471011	43.77076723
GLRX	990.2955386	985.7602732	1119.053856	807.2179487	804.3813693	649.7527224
DDIT4L	27.67906785	54.60479647	39.58412302	106.8532278	124.3681918	165.3562317
ST3GAL1	1658.69377	1533.724196	1503.126833	1978.371644	2031.012809	2551.349387
SNAI2	2071.829486	2310.645072	2235.96803	2605.737625	2642.824075	2683.634373
RAB3IL1	276.7906785	247.1585525	250.342832	168.2144873	162.4810247	182.8645386
APBA2	36.9054238	33.52926099	48.14285232	104.7373223	69.2048809	142.9845063
NHSL1	183.5019683	162.8564105	178.6634742	107.9111806	63.18706517	114.7766785
PDCD1LG2	447.9908389	544.132007	523.1523285	731.0453506	672.9923925	624.4629458
CCBE1	2100.533705	2257.956233	2219.920412	1821.794636	1833.427859	1717.759443
TSPAN18	15.37725992	16.28564105	11.76825279	35.97039352	56.16628015	96.2956879
CSF2RB	84.06235421	83.34416304	104.8444339	209.4746446	196.5819805	125.4761994
TNFRSF10C	31.77967049	16.28564105	28.88571139	61.36125953	67.19894232	41.82539979
TGIF1	642.7694645	528.8043448	544.5491518	425.2970057	397.1758382	474.6696535
GAL3ST4	117.892326	125.495234	161.5460155	215.8223611	188.5582262	224.6899384
RNF41	1171.747206	1105.507634	1115.844333	930.9984205	921.728776	787.8738101
FOSL1	3186.168255	3396.035149	3332.555221	2404.726602	2313.850148	2883.034535
TUBE1	330.0985129	305.5952645	310.2539371	247.5609436	200.5938577	212.0450501
ACSL4	2118.986417	2155.452492	2149.310896	2531.680932	2555.565747	2538.704499
PAK1	966.7170734	941.6932444	959.6475228	771.2475552	755.2358742	768.4201357
ANKRD11	5060.143663	3841.495331	4066.466259	3394.970377	3504.374694	3313.933421
YPEL3	584.3358768	547.0059436	541.3396283	434.8185805	416.2322547	315.149524
TRIM55	253.2122133	309.42718	325.2317134	429.5288167	408.2085004	676.0151827
LIPA	1271.18682	1470.497589	1395.072876	1091.807239	1097.248402	973.6563999
MYH2	87.13780619	60.35266979	60.98094627	34.91244077	35.10392509	25.28977662
BTG2	132.2444353	120.7053396	145.4983981	206.3007864	218.6473049	185.7825898
BDKRB1	95.33901148	132.2010862	118.752369	168.2144873	189.5611955	259.7065522
RIPK4	37.93057446	17.24361994	27.81587023	60.30330678	55.16331086	118.6674134
KCNK2	2970.886616	2525.232342	2633.948942	2033.385187	2221.576974	1790.710721
RN7SL2	21.52816388	37.36117653	28.88571139	62.41921228	71.21081948	86.56885074
CIZ1	2819.164318	2707.24833	2850.056857	2329.611957	2235.618544	2528.977662
AKNA	418.2614697	297.9314334	353.0475837	224.2859831	241.7155985	218.8538361
SSX2IP	886.7553219	1019.289534	1031.326881	1227.225191	1323.919461	1781.956568
ID2	2192.797264	2935.247305	2758.050517	3161.162819	3355.935239	3541.54141
IL7R	552.5562063	618.85436	625.8570801	760.6680277	809.3962157	974.6290836
DHRS3	631.4928072	433.0064562	453.6126529	314.2119669	365.080821	280.1329102
AGRN	2239.954195	1883.386489	1994.183927	3033.150536	2740.112096	2505.633253
STX12	1136.892083	1158.196473	1107.285603	1342.54204	1439.260929	1442.489951
ASPH	12709.8179	12489.17073	12296.75432	13712.1256	13712.59611	13793.62778
PTCHD4	24.60361587	12.45372551	17.1174586	55.01354303	61.18112659	30.1531952
HEG1	3897.622814	3293.531408	3218.082217	2899.848489	2875.51295	2781.875428
TRHDE	263.4637199	266.3181302	253.5523555	350.1823604	345.0214352	402.6910585
SLC9A3R1	355.7272794	342.956441	347.6983778	250.7348019	226.6710592	258.7338685
TMEM106C	676.5994363	819.0719471	848.3840419	531.0922808	515.5262142	656.5615084
TMEM41B	788.3408584	794.1644961	797.0316661	997.6494438	1018.013828	1124.422376
MALL	660.1970258	801.8283271	818.4284894	630.5398393	373.1045753	349.1934541
CDH24	476.6950574	555.6277536	564.8761338	700.3647209	692.048809	724.6493685
CC2D1A	730.9324214	678.2490509	657.952315	523.6866115	532.5766921	446.4618257
PDSS1	69.71024496	74.72235307	86.65713417	125.8963773	134.3978846	149.7932923
BCL6	628.4173553	521.1405137	550.9681987	407.311809	422.2500704	429.9262025
ITGB8	322.9224582	226.083017	209.6888679	159.7508653	172.5107176	127.4215668
TNS2	1306.041942	1225.254995	1127.612585	986.0119635	934.7673768	814.1362704
RASD2	240.9104054	287.3936656	286.7174316	458.093541	395.1698996	541.7848299
FRAS1	253.2122133	268.2340879	226.8063265	358.6459824	331.9828345	406.5817933
PMP22	842.6738434	820.9879049	784.1935722	607.2648788	649.9240989	682.8239687
CNIH3	357.7775807	252.9064258	312.3936195	452.8037772	471.3955655	509.6862673
JUND	2112.835513	1870.932763	2080.841061	1586.929126	1504.453933	1210.018543
GFM1	744.25938	769.257045	830.1967422	932.0563733	966.862394	957.1207767
PRRX1	3430.154112	3372.085677	3246.967928	3822.383288	4047.984048	4267.163463
TOR4A	1175.847808	1021.205492	1073.050686	860.1155862	733.1705498	740.212308
