Gene	CTRL_1	CTRL_2	CTRL_3	Eto_1	Eto_2	Eto_3
GINS2	197.8540776	248.1165313	263.180926	7.719194921	15.58737157	15.46868992
GTSE1	487.9717147	736.6857629	642.9745387	23.15758476	22.26767367	29.64832235
PRR11	694.0269976	890.9203635	815.2189659	59.54807511	57.89595155	56.71852971
DEPDC1	371.1045393	535.510197	472.8697939	9.924679185	11.13383684	16.75774741
CDCA5	499.248372	687.8288398	621.5777155	45.2124274	31.17474314	38.6717248
KIF2C	374.1799913	517.3085982	454.6824941	20.9521005	22.26767367	18.04680491
PBK	457.2171949	643.761811	616.2285096	18.74661624	15.58737157	12.89057493
NCAPG	449.0159896	561.3756269	556.3174045	27.56855329	24.49444104	18.04680491
CENPF	1343.972517	1439.842265	1321.253836	134.5345401	152.5335647	166.2884166
CDT1	328.0482116	495.2750838	469.6602704	47.41791166	32.28812682	28.35926485
SPAG5	525.9022891	603.5266979	569.1554985	33.08226395	20.0409063	23.20303488
FAM83D	347.5260741	460.7878439	439.7047178	16.54113197	23.38105736	19.3358624
MYBL2	550.505905	803.7442849	760.6570666	47.41791166	30.06135946	37.38266731
KNL1	419.2866204	532.6362603	502.8253464	23.15758476	11.13383684	7.73434496
CDKN2C	393.6578539	545.0899858	549.8983576	41.904201	47.87549839	37.38266731
CCNA2	940.0631562	1393.859278	1202.501467	109.171471	115.7919031	139.2182093
WDR62	316.7715543	463.6617806	405.4698006	27.56855329	26.72120841	29.64832235
BUB1	462.3429482	597.7788245	571.2951808	6.61645279	15.58737157	15.46868992
UBE2C	434.6638803	671.5431987	663.3015208	11.02742132	2.226767367	7.73434496
KIFC1	505.3992759	636.09798	621.5777155	15.43838984	28.94797577	24.49209237
KIF11	542.3046997	700.2825653	709.3046908	52.93162232	54.5558005	39.96078229
BTG2	132.2444353	120.7053396	145.4983981	390.3707146	369.6433829	358.3579831
PAM	7826.000147	6891.700102	6786.002494	10152.94681	11290.82394	10293.12408
CDCA3	335.2242662	481.8633794	427.936465	22.05484263	38.96842893	29.64832235
KIF4A	336.2494168	415.7628363	438.6348767	20.9521005	8.907069469	11.60151744
CDC6	276.7906785	407.1410263	400.1205948	20.9521005	18.92752262	25.78114987
ASF1B	271.6649252	451.2080551	365.8856776	23.15758476	16.70075525	14.17963243
BDNF	1340.897065	1436.010349	1394.003035	1979.422126	2144.376975	2037.999897
TRIP13	445.9405376	641.8458533	570.2253397	63.95904363	55.66918418	78.63250709
NDC80	260.3882679	331.4606944	276.0190199	7.719194921	7.793685785	1.289057493
CKAP2L	305.494897	376.485702	351.9777425	14.33564771	17.81413894	19.3358624
NEURL1B	149.6719965	221.2931225	215.0380737	12.13016345	13.3606042	9.023402453
KIF18B	274.7403772	405.2250686	372.3047246	4.410968526	6.680302101	2.578114987
GDF15	862.151706	558.5016902	572.365022	3309.329137	3268.894495	3577.134544
FDXR	334.1991155	326.6707999	359.4666306	934.0225855	823.9039258	960.3478325
FOXM1	1234.281396	1591.202929	1524.523657	185.2606781	188.1618425	235.8975213
KIF23	885.7301712	1094.011887	1070.911004	135.6372822	144.7398789	175.3118191
CENPM	169.1498591	241.4106791	218.2475972	13.23290558	10.02045315	14.17963243
AURKB	249.1116106	392.771343	446.1237648	13.23290558	10.02045315	20.62491989
TROAP	239.8852547	294.0995178	253.5523555	12.13016345	3.340151051	5.156229973
TTK	237.8349534	327.6287788	279.2285434	16.54113197	7.793685785	12.89057493
PIMREG	272.6900759	411.9309208	410.8190064	16.54113197	14.47398789	12.89057493
NEK2	225.5331454	336.2505888	301.6952078	4.410968526	6.680302101	2.578114987
TK1	1333.72101	1986.848208	1844.406164	273.4800486	288.366374	333.8658908
WDR76	276.7906785	294.0995178	319.8825076	17.64387411	25.60782472	29.64832235
HMMR	265.5140212	364.9899554	341.2793309	6.61645279	5.566918418	9.023402453
AURKA	680.700039	882.2985535	864.4316594	175.3359989	195.9555283	184.3352215
TCF19	690.9515456	983.8443154	948.9491112	129.0208294	136.9461931	131.4838643
SULF2	287.0421851	215.5452492	221.4571207	605.4054303	643.5357691	614.8804243
RAD51AP1	156.8480511	187.7638616	159.4063332	20.9521005	13.3606042	5.156229973
GMNN	283.9667331	398.5192164	391.5618655	66.1645279	76.82347417	56.71852971
CDH10	25.62876653	23.94947214	24.60634674	127.9180873	155.8737157	166.2884166
FANCD2	190.678023	232.7888692	195.7809328	20.9521005	26.72120841	15.46868992
SRSF7	1366.525831	1687.000817	1616.529997	679.2891531	720.3592433	692.2238739
CHAC1	911.3589377	600.6527612	757.4475431	1871.353397	1660.055072	1668.040396
ZNF367	224.5079948	268.2340879	294.2063197	1.102742132	13.3606042	24.49209237
CLSPN	210.1558855	273.9819612	269.599973	9.924679185	15.58737157	9.023402453
CDCA7	217.3319402	301.7633489	285.6475904	20.9521005	11.13383684	24.49209237
CDKN3	252.1870626	463.6617806	410.8190064	22.05484263	18.92752262	21.91397739
FBXO5	184.527119	250.990468	256.761879	35.28774821	30.06135946	32.22643733
POLQ	190.678023	201.175566	236.4348969	14.33564771	5.566918418	7.73434496
MCM10	130.194134	206.9234393	211.8285502	4.410968526	7.793685785	3.86717248
CTGF	18937.60816	17892.17164	17642.75061	27778.0743	28863.35861	29123.67595
UHRF1	1003.622497	1305.725221	1291.298283	186.3634202	215.9964346	176.6008766
RACGAP1	1102.036961	1296.145432	1325.5332	258.0416588	264.9853167	219.1397739
STOM	1829.89393	1808.664136	1825.149023	2777.80743	2948.239994	2869.44198
KIF15	115.8420247	173.3941783	148.7079216	12.13016345	6.680302101	3.86717248
SKA1	166.0744071	227.9989747	225.7364853	11.02742132	11.13383684	11.60151744
KIF20B	335.2242662	397.5612375	414.0285299	57.34259084	62.34948628	60.58570219
CENPU	197.8540776	273.0239824	297.4158432	22.05484263	25.60782472	20.62491989
CCNB2	386.4817992	515.3926404	553.1078811	50.72613805	51.21564944	48.98418475
FLRT2	3735.649009	3367.295782	3121.796512	5502.683237	5830.790351	5398.572782
HMGN2	4562.945593	5937.553132	5721.510537	2465.731406	2629.812261	2667.059954
MCM5	1313.217997	1765.555086	1798.402994	341.8500608	345.1489419	357.0689256
BHLHE40	467.4687015	496.2330627	420.4475769	975.9267865	959.7367352	991.2852124
VWCE	32.80482116	29.69734545	27.81587023	145.5619614	118.0186705	168.8665316
TNFRSF10D	4773.101478	4374.131591	4241.92021	8547.354262	8568.600829	8692.114677
CHAF1B	214.2564882	275.897919	293.1364785	46.31516953	57.89595155	47.69512725
BCL2L1	1151.244192	1134.247	1117.984015	1991.55229	1878.278274	1817.571066
FHL2	4884.8429	4940.297112	4605.666205	7827.26365	8027.496359	8016.648551
ARHGAP11A	725.8066681	880.3825958	828.0570598	176.4387411	141.3997278	152.1087842
CTSC	605.8640407	900.5001524	877.2697533	301.0486019	351.829244	339.0221207
DLC1	4601.901318	4033.091108	4128.517046	6142.273673	6224.928175	6053.413989
PEG10	742.2090786	927.3235611	841.9649949	352.8774821	359.6229298	344.1783507
COL1A1	242785.4059	286263.2506	266464.2685	168355.6412	157831.0442	171625.1147
CDCA2	321.8973076	416.7208152	437.5650355	62.8563015	66.80302101	43.82795477
PTTG1	439.7896336	777.878855	694.3269145	92.63033906	95.75099679	85.07779456
SCARA3	2429.607067	3019.549447	2904.618756	1192.064244	1253.670028	1129.214364
CHTF18	405.9596618	460.7878439	385.1428185	113.5824396	95.75099679	105.7027145
FANCG	243.9858573	320.9229266	307.0444137	79.39743348	85.73054364	86.36685205
SKA3	202.9798309	293.141539	290.9967962	9.924679185	14.47398789	20.62491989
SFRP1	230.6588987	174.3521572	157.2666509	383.7542618	466.5077634	443.4357777
TNFRSF10B	2865.296098	2312.56103	2357.929922	4525.653708	4495.843314	4525.880859
STIL	267.5643225	291.2255812	295.2761609	72.78098069	80.16362522	59.29664469
MAD2L1	384.4314979	543.1740281	532.780899	83.808402	64.57625365	67.03098965
TMPO	1020.024908	1236.750741	1215.339561	228.2676212	267.2120841	198.514854
CENPK	175.300763	249.0745102	227.8761676	28.67129542	45.64873103	46.40606976
ADAM12	2517.770024	2918.961664	2727.025123	1722.48321	1833.742927	1755.696306
NUF2	190.678023	248.1165313	264.2507672	3.308226395	7.793685785	3.86717248
ZWINT	355.7272794	497.1910416	494.2666171	57.34259084	41.19519629	64.45287467
PPP1R15A	1963.163516	1695.622627	1731.003001	2920.061165	2605.31782	2824.324968
TYMS	332.1488142	441.6282662	476.0793173	116.890666	149.1934136	145.6634967
APLP2	19152.8898	15721.39149	15787.64604	28993.29612	30403.16825	30062.1098
CIT	590.4867808	656.2155366	641.9046975	112.4796974	101.3179152	123.7495194
SGK1	993.3709906	960.8528221	931.8316526	1409.304444	1378.369	1487.572347
CREB3L1	5707.01373	6376.307462	6570.964421	4352.523194	3993.707273	4345.41281
KPNA2	2372.19863	2949.616988	2828.660034	853.5224099	861.7589711	852.0670031
DTYMK	940.0631562	1151.49062	1234.596702	497.3367014	469.8479145	469.2169276
SLC7A8	521.8016865	481.8633794	498.5459818	775.2277185	797.1827174	845.6217156
SPC24	153.7725992	245.2425947	256.761879	12.13016345	11.13383684	14.17963243
CYFIP2	38.95572512	42.15107096	54.56189929	133.4317979	208.2027488	167.5774741
KRT81	111.7414221	204.0495026	248.2031497	19.84935837	8.907069469	16.75774741
ITGA2	1102.036961	1161.070409	1050.584022	1579.126732	1624.426794	1655.149821
TUBB4B	7290.871502	9314.428704	9049.786394	4664.599217	4740.787725	4714.083253
S1PR3	599.7131367	765.4251295	673.9999324	272.3773065	261.6451656	277.1473611
MARS	3870.968896	3461.177713	3388.186962	4939.182008	4902.228359	4885.5279
MXD3	175.300763	241.4106791	246.0634674	48.52065379	57.89595155	51.56229973
ATF4	7027.407782	6155.972318	6154.796208	8473.470539	9243.311341	8895.785761
TUBA1C	5966.376848	7057.430449	6706.834248	3838.64536	3834.493406	4155.921358
DDIAS	95.33901148	142.7388539	147.6380804	16.54113197	12.24722052	7.73434496
KIF14	217.3319402	292.1835601	246.0634674	23.15758476	15.58737157	19.3358624
SAPCD2	116.8671754	145.6127906	174.3841095	2.205484263	4.453534734	1.289057493
MCM8	290.1176371	328.5867577	293.1364785	88.21937053	85.73054364	76.05439211
TMEM131	1554.128402	1421.640666	1422.888746	2093.004566	2125.449452	1996.750057
PHF19	577.1598222	724.2320374	622.6475566	207.3155207	264.9853167	261.6786711
PSRC1	242.9607067	319.9649478	320.9523488	82.70565987	69.02978838	65.74193216
MCM7	1784.787301	2374.829657	2353.650558	526.0079968	499.9092739	540.1150897
STMN1	2606.958131	3619.244229	3434.190132	833.6730515	809.429938	706.4035063
SLFN11	497.1980706	505.8128515	525.2920108	184.157936	184.8216915	155.9759567
INCENP	624.3167526	696.4506497	671.8602501	237.0895583	256.0782472	248.7880962
FAT1	9946.011714	9142.950483	8438.90709	14287.12706	14370.4432	13777.44649
CDC45	184.527119	216.5032281	223.596803	9.924679185	8.907069469	16.75774741
PDE4B	791.4163104	693.5767131	716.7935789	1264.845225	1378.369	1338.041678
POC1A	263.4637199	339.1245255	289.9269551	74.98646495	91.29746205	85.07779456
SMC4	1536.700841	1695.622627	1712.815701	474.1791166	534.4241681	479.5293875
ORC6	193.7534749	285.4777079	303.8348902	23.15758476	35.62827787	30.93737984
CKS2	426.462675	657.1735154	615.1586685	62.8563015	80.16362522	110.8589444
RBL1	218.3570908	256.7383413	236.4348969	59.54807511	47.87549839	54.14041472
DTL	216.3067895	301.7633489	265.3206083	16.54113197	31.17474314	14.17963243
NR4A1	259.3631173	251.9484469	246.0634674	463.1516953	456.4873103	536.2479172
CCNF	308.570349	409.0569841	411.8888476	74.98646495	66.80302101	55.42947221
DHFR	391.6075525	539.3421125	579.8539101	122.4043766	94.6376131	99.25742699
NCAPG2	671.473683	851.6432292	829.126901	153.2811563	155.8737157	159.8431292
ZMAT3	2685.894732	2278.07379	2240.247394	4178.289937	4235.311532	4081.156024
ESPL1	274.7403772	327.6287788	416.1682122	59.54807511	43.42196366	64.45287467
MELK	603.8137394	723.2740585	695.3967557	119.0961502	141.3997278	152.1087842
XRCC2	89.18810752	110.1675718	129.4507807	6.61645279	7.793685785	10.31245995
FSCN1	10571.35362	12051.37438	11649.50042	7367.420181	6951.96772	7727.899672
IGF2R	3688.492079	3018.591468	3051.186996	5158.627692	5101.524038	4848.145232
FST	2970.886616	2168.864197	2169.637878	4760.537782	4712.953133	4732.130058
UBE2S	2192.797264	2804.004198	2767.679088	937.3308119	849.5117506	965.5040625
HIST1H4H	61.50903967	44.06702873	48.14285232	133.4317979	146.9666462	238.4756363
PLK4	176.3259137	225.1250381	221.4571207	12.13016345	10.02045315	27.07020736
TP53INP1	827.2965835	685.912882	673.9999324	1559.277374	1460.759393	1396.049265
RECQL4	498.2232213	605.4426556	632.2761271	153.2811563	131.3792747	114.7261169
CENPI	174.2756124	188.7218404	204.3396621	35.28774821	35.62827787	38.6717248
H2AFX	1718.152508	2207.183352	2057.304556	586.658814	539.9910865	596.8336194
AC099850.3	92.2635595	105.3776774	93.07618114	9.924679185	10.02045315	10.31245995
PAQR4	189.6528723	217.461207	208.6190267	60.65081724	64.57625365	54.14041472
TMEM106C	676.5994363	819.0719471	848.3840419	401.3981359	443.1267061	409.9202829
CKAP2	1145.093288	1395.775236	1297.71733	411.3228151	464.2809961	442.1467202
FEN1	439.7896336	616.9384022	602.3205745	148.8701878	143.6264952	161.1321867
NREP	1364.47553	1587.371013	1538.431592	838.08402	897.387249	822.4186807
CENPA	137.3701886	171.4782205	204.3396621	4.410968526	2.226767367	2.578114987
AMOTL2	4933.024981	4595.424714	4519.009071	6328.637093	6246.082465	6308.647372
HIST1H2AC	672.4988337	661.9634099	598.0412099	1776.517574	1739.105314	1744.094788
THBS1	107812.0196	94197.10583	90539.58775	145268.632	146777.371	144581.9775
HLA-A	4766.950574	4365.509781	4379.92972	6824.871053	6254.989534	6703.098965
SESN2	1515.172677	1068.146457	1105.145921	2510.943834	2443.877185	2558.779124
POLD1	485.9214134	547.9639225	572.365022	223.8566527	187.0484588	211.4054289
GDNF	451.0662909	362.1160187	376.5840892	756.4811023	799.4094848	754.0986336
ATP13A3	3385.047483	3215.935119	3252.317134	4381.194489	4537.038511	4203.616486
KLHL21	1699.699796	1507.858766	1541.641115	2549.539808	2310.271143	2498.193422
PLK3	732.9827227	596.8208457	613.0189862	1198.680697	1075.528638	1117.612847
DBF4B	184.527119	185.8479038	215.0380737	55.13710658	40.08181261	41.24983979
ECE1	4019.615742	3458.303777	3255.526658	5504.888721	5286.34573	5366.346345
CENPW	174.2756124	288.3516445	243.9237851	39.69871674	33.40151051	23.20303488
GINS1	178.376215	262.4862146	230.01585	31.97952182	18.92752262	18.04680491
UBE2T	197.8540776	266.3181302	278.1587023	28.67129542	42.30857998	38.6717248
RFC2	351.6266768	439.7123084	420.4475769	142.253735	171.4610873	143.0853818
AVPI1	373.1548406	365.9479343	358.3967895	632.9739836	611.2476423	679.333299
NEFM	304.4697463	179.1420516	182.9428388	733.3235175	759.3276722	813.3952783
DDX39A	1089.735153	1337.338524	1392.933194	580.0423612	681.3908144	647.1068616
PIK3IP1	276.7906785	279.7298346	210.758709	512.7750912	474.3014492	500.1543074
BARD1	154.7977498	150.402685	155.1269686	24.2603269	28.94797577	32.22643733
KIF22	494.1226187	647.5937266	683.6285029	170.9250304	152.5335647	197.2257965
ASCC3	1695.599193	1562.463562	1618.669679	2234.155559	2427.17643	2226.202291
NR2F2	2522.895777	2548.223835	2635.018783	1721.380467	1748.012383	1840.7741
NUPR1	2716.649252	2341.300396	2462.774356	4225.707848	4246.445369	4408.576627
MASP1	496.17292	411.9309208	456.8221764	862.3443469	922.9950737	881.7153254
MIS18A	199.9043789	268.2340879	252.4825144	76.08920708	47.87549839	63.16381717
TNFRSF10C	31.77967049	16.28564105	28.88571139	94.83582332	94.6376131	105.7027145
SRSF3	3343.016306	3913.343747	3937.015478	2194.456842	2349.239572	2337.061235
TXNRD1	11498.08982	9877.720288	9729.135532	13551.59806	14237.95055	13732.32948
PAMR1	2100.533705	2042.410984	1910.736316	2914.547454	2816.860719	2942.918257
EXO1	96.36416214	213.6292915	205.4095032	6.61645279	8.907069469	7.73434496
INSIG1	783.2151051	1062.398584	1044.164975	540.3436445	546.6713886	532.3807447
PPP1R3C	1251.708957	924.4496245	1016.349104	2003.682453	1825.949241	1758.274421
ATRN	1336.796462	1125.62519	1153.288773	1692.709172	1761.372987	1691.243431
SLC3A2	6867.484279	5038.968938	5434.793106	10799.1537	10393.43669	10941.52
E2F1	299.343993	441.6282662	510.3142345	44.10968526	57.89595155	82.49967957
BRIP1	156.8480511	184.8899249	206.4793444	18.74661624	20.0409063	14.17963243
RANBP1	1299.891038	1660.177409	1728.863319	769.7140079	732.6064638	800.5047034
LYNX1	120.967778	86.21809969	96.28570463	324.2061867	268.3254677	319.6862583
ESCO2	116.8671754	178.1840727	149.7777628	4.410968526	5.566918418	2.578114987
CENPE	406.9848125	500.0649782	498.5459818	55.13710658	62.34948628	79.92156459
CHN1	865.227158	1072.936352	1039.88561	512.7750912	543.3312376	587.810217
HELLS	164.0241058	192.553756	217.177756	39.69871674	38.96842893	56.71852971
GARS	7015.105974	5971.082393	5845.612112	8674.169607	9124.179287	8578.677618
FANCA	193.7534749	229.9149325	254.6221967	40.80145887	26.72120841	21.91397739
RCN1	2826.340373	2534.812131	2530.174349	3791.227449	3798.865128	3649.321764
SRPX	1075.383044	934.9873922	860.1522947	1460.030582	1314.90613	1428.275703
PSG4	1436.236076	1393.859278	1452.844299	2134.908767	2413.815826	2326.748775
DNAJB4	2857.094893	3287.783535	3311.158398	2160.271836	2336.992352	2192.686796
PVR	1982.641379	1702.328479	1763.098236	2630.039984	2546.308484	2612.919539
DUSP1	3262.029404	3588.588905	3533.68536	4718.633581	4593.821078	4926.777739
GLIPR1	4252.324942	4420.114578	4377.790037	5709.998758	6789.413702	6423.373489
EDA2R	435.689031	377.4436809	381.933295	673.7754424	733.7198475	756.6767486
KIAA1109	1452.638487	1185.019881	1136.171315	1900.024693	2046.39921	1778.899341
GPSM2	236.8098027	281.6457923	270.6698141	63.95904363	75.71009048	56.71852971
CDC25C	64.58449165	94.83990966	94.14602231	4.410968526	2.226767367	1.289057493
TRIM22	1323.469503	1140.952853	1161.847503	2141.52522	2218.973681	2174.639991
TEDC1	151.7222978	206.9234393	210.758709	69.47275429	56.78256786	58.0075872
LMNB2	4024.741496	5059.086494	4811.075708	1861.428718	1704.59042	1921.984723
PTMS	6102.721886	7166.640042	7294.177046	4520.139998	4588.25416	4752.754978
OGA	2561.851502	2210.057289	2131.123596	3360.055275	3393.593468	3173.659549
NINJ1	288.0673358	286.4356868	281.3682258	552.4738079	472.0746818	522.0682848
XPC	721.7060654	619.8123389	585.2031159	996.878887	1077.755406	1036.402225
ULBP1	393.6578539	296.9734545	324.1618723	682.5973795	719.2458596	635.5053442
NSD2	2706.397745	2935.247305	2927.085421	984.7487235	965.3036537	991.2852124
APOBEC3B	74.83599826	115.9154451	131.590463	7.719194921	7.793685785	18.04680491
RN7SL2	21.52816388	37.36117653	28.88571139	151.075672	141.3997278	112.1480019
SLC30A1	1338.846763	1319.136925	1168.26655	1799.675159	1748.012383	1775.032168
C19orf48	527.9525905	609.2745712	615.1586685	307.6650547	244.9444104	282.303591
APP	10443.20978	9238.748372	9042.297506	13156.81637	13899.48191	13533.81462
CDK2AP2	658.1467244	776.9208761	826.9872187	412.4255572	427.5393345	425.3889728
WDR34	948.2643615	1224.297016	1293.437966	629.6657572	543.3312376	611.0132518
GAS2L3	211.1810362	248.1165313	228.9460088	30.87677969	33.40151051	25.78114987
CDC25B	1973.415023	2144.914725	2066.933126	1056.426962	1084.435708	1100.855099
LAMA4	5498.908146	4126.01506	4161.682122	7829.469135	7789.23225	7504.892726
SPC25	97.38931281	159.024495	161.5460155	5.513710658	0	0
DDB1	5443.55001	5051.422663	4872.056654	6595.500689	6650.240742	6540.677721
CRABP2	979.0188814	1156.280515	1150.07925	641.7959206	647.9893038	598.1226769
BRCA2	115.8420247	147.5287484	132.6603042	24.2603269	30.06135946	25.78114987
CDK2	476.6950574	539.3421125	512.4539169	198.4935837	200.409063	199.8039115
AC091057.1	70.73539562	127.4111918	142.2888746	8.821937053	17.81413894	11.60151744
TUBA1B	9848.622401	12665.43884	13263.89073	6003.328165	5510.13585	6004.429804
ARSI	342.4003208	434.922414	464.3110646	220.5484263	173.6878546	180.4680491
OSBPL3	1517.222978	1527.976322	1529.872862	2036.764717	2277.983017	2159.171301
MCM2	506.4244266	569.039458	626.9269213	129.0208294	152.5335647	104.413657
DDB2	457.2171949	439.7123084	412.9586888	721.1933541	768.2347417	692.2238739
CCNE2	76.88629958	98.6718252	94.14602231	11.02742132	8.907069469	9.023402453
ATAD2	950.3146628	1148.616684	1030.25704	328.6171552	358.5095461	310.6628559
DNMT1	2271.733865	2494.577018	2423.190233	1285.797325	1172.393019	1245.229539
CDCA4	409.0351138	499.1069993	558.4570869	226.062137	212.6562836	180.4680491
STC2	7508.203442	5370.429632	5559.964522	11294.28491	10779.78082	11164.52695
LDB2	640.7191632	679.2070298	713.5840554	427.8639471	368.5299993	415.0765128
EME1	72.78569694	73.76437418	72.74919906	6.61645279	5.566918418	5.156229973
MIR503HG	256.2876653	305.5952645	284.5777492	116.890666	132.4926583	122.4604619
UBR4	5935.622328	4543.693854	4588.548746	7741.249764	7528.700468	7388.877552
PLXNB1	515.6507825	341.0404832	345.5586955	781.8441713	672.4837449	768.278266
NRM	320.8721569	399.4771952	374.4444069	162.1030933	130.265891	117.3042319
MANF	987.2200866	1337.338524	1410.050652	642.8986627	671.3703612	692.2238739
MCM6	1082.559098	1150.532641	1104.07608	522.6997704	586.7532012	542.6932047
PSG5	6937.194524	6185.669664	6204.008902	10365.77604	10867.73814	10449.10004
RAB7B	212.2061868	250.990468	248.2031497	116.890666	116.9052868	113.4370594
MAPRE2	567.9334663	699.3245864	682.5586617	398.0899095	362.9630808	400.8968804
DHCR24	2194.847565	2785.802599	2655.345766	1625.441902	1593.252051	1769.875938
OIP5	55.3581357	81.42820527	70.60951673	4.410968526	6.680302101	3.86717248
MCM3	958.5158681	1185.019881	1073.050686	361.6994192	358.5095461	360.9360981
RRM2B	1445.462432	1262.616171	1310.555424	2335.607835	2336.992352	2227.491348
ERCC6L	106.6156688	135.0750229	100.5650693	5.513710658	1.113383684	0
NEIL3	68.68509429	113.0415085	96.28570463	4.410968526	10.02045315	11.60151744
HSPA4L	102.5150661	102.5037407	93.07618114	247.0142375	238.2641083	208.8273139
RFC3	217.3319402	314.2170744	280.2983846	51.82888019	63.46286996	52.85135723
NXN	2014.421049	2301.065283	2443.517215	1598.976091	1654.488154	1644.837361
CPXM2	1101.01181	857.3911025	865.5015005	1482.085425	1409.543743	1533.978417
PARPBP	138.3953392	186.8058827	150.8476039	35.28774821	44.53534734	30.93737984
H2AFZ	3262.029404	4307.073069	4190.567834	1357.475564	1255.896795	1292.924666
FANCI	436.7141816	527.8463659	472.8697939	129.0208294	132.4926583	79.92156459
AMD1	1523.373882	1777.050833	1762.028395	989.1596921	1027.65314	989.9961549
CKS1B	571.0089182	736.6857629	712.5142143	176.4387411	199.2956794	185.624279
ACAT2	316.7715543	392.771343	404.3999595	117.9934081	160.3272504	159.8431292
DBF4	173.2504617	227.0409959	250.342832	66.1645279	45.64873103	64.45287467
ANGPT1	1050.779428	909.1219623	860.1522947	1447.900419	1475.233381	1423.119473
RIN2	1429.060022	1308.599158	1459.263346	1833.860165	1896.092413	1809.836721
NT5E	11203.87158	10140.2065	10183.81803	14246.3256	14600.91363	13648.54074
DKK3	10780.48435	10138.29055	9822.211714	13406.03609	13834.90565	13489.98667
DOCK10	1298.865888	1274.111918	1318.044312	852.4196677	862.8723548	799.2156459
CDC7	98.41446347	122.6212973	151.9174451	28.67129542	27.83459209	21.91397739
SPRY2	568.9586169	475.1575272	539.1999459	769.7140079	835.0377627	885.5824979
AMIGO2	889.8307738	718.4841641	667.5808854	1334.317979	1338.287188	1277.455976
DGKA	1089.735153	979.054421	1031.326881	1611.106254	1653.37477	1750.540076
CARS	2283.010522	1958.108842	2023.069638	3023.718925	3098.546791	3051.199087
SLC38A1	2385.525588	1700.412522	1641.136343	3117.452006	3137.51522	2999.636787
ATP6V0A1	889.8307738	792.2485383	723.2126259	1285.797325	1307.112445	1348.354138
CENPO	253.2122133	318.04899	305.9745725	95.93856545	94.6376131	96.679312
SGIP1	373.1548406	263.4441935	264.2507672	555.7820343	586.7532012	551.7166071
ITGB1	42549.90334	39090.32842	38835.2342	49915.62259	55994.29221	51426.9487
RPL22L1	717.6054628	1094.969866	1073.050686	480.7955694	429.7661019	449.8810652
BLM	74.83599826	65.14256421	90.93649882	2.205484263	4.453534734	6.445287467
RMI2	142.4959419	194.4697138	177.593633	51.82888019	32.28812682	30.93737984
OS9	3060.074723	2580.795117	2632.879101	3935.686668	4036.015853	4134.007381
EGR1	1434.185775	1260.700213	1170.406232	1989.346805	2045.285827	2105.030887
FANCB	91.23840884	147.5287484	129.4507807	16.54113197	27.83459209	24.49209237
RRAD	103.5402168	79.51224749	87.72697533	208.4182629	207.0893651	219.1397739
EZH2	252.1870626	334.334631	348.768219	67.26727003	72.36993943	47.69512725
